Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
Emiliano Martínez,ar ARG,32-212,90,4,0.0,4.0,100.0,0.7,3,18,16.7,46,4,28.3,33.4,17,1.0,5.9,0.0,5.0,False,Brighton_AstonVilla_20250402
Caoimhín Kelleher,ie IRL,26-130,90,0,0.0,0.0,,0.0,3,11,27.3,40,7,25.0,30.4,15,1.0,6.7,1.0,12.0,True,Liverpool_Everton_20250402
Jordan Pickford,eng ENG,31-026,90,3,1.0,2.0,66.7,0.3,5,19,26.3,28,5,50.0,40.6,23,2.0,8.7,1.0,10.5,False,Liverpool_Everton_20250402
Robert Sánchez,es ESP,27-136,90,2,0.0,2.0,100.0,1.7,5,20,25.0,31,1,54.8,43.3,12,0.0,0.0,0.0,6.0,True,Chelsea_Tottenham_20250403
Guglielmo Vicario,it ITA,28-178,90,5,1.0,4.0,80.0,1.8,2,6,33.3,36,3,16.7,24.1,18,0.0,0.0,0.0,7.1,False,Chelsea_Tottenham_20250403
Jordan Pickford,eng ENG,31-029,90,4,1.0,3.0,75.0,0.7,8,23,34.8,22,0,72.7,51.1,10,0.0,0.0,0.0,6.0,True,Everton_Arsenal_20250405
David Raya,es ESP,29-202,90,2,1.0,1.0,100.0,1.0,0,9,0.0,41,3,17.1,24.1,11,3.0,27.3,2.0,14.7,False,Everton_Arsenal_20250405
Dean Henderson,eng ENG,28-024,90,5,1.0,4.0,80.0,1.6,4,21,19.0,36,5,41.7,36.2,18,1.0,5.6,5.0,17.5,True,CrystalPalace_Brighton_20250405
Bart Verbruggen,nl NED,22-230,90,3,2.0,1.0,33.3,0.9,1,3,33.3,30,2,10.0,24.1,8,2.0,25.0,3.0,14.4,False,CrystalPalace_Brighton_20250405
Alex Palmer,eng ENG,28-238,90,6,2.0,4.0,66.7,2.1,7,16,43.8,24,3,54.2,41.3,19,3.0,15.8,0.0,6.3,True,IpswichTown_Wolves_20250405
José Sá,pt POR,32-078,90,2,1.0,1.0,50.0,0.6,4,13,30.8,20,1,60.0,38.6,9,0.0,0.0,2.0,25.3,False,IpswichTown_Wolves_20250405
Alphonse Areola,fr FRA,32-037,90,4,2.0,2.0,50.0,2.1,2,18,11.1,40,10,32.5,31.6,15,0.0,0.0,0.0,2.0,True,WestHam_Bournemouth_20250405
Kepa Arrizabalaga,es ESP,30-184,90,3,2.0,1.0,33.3,1.5,3,11,27.3,36,7,25.0,28.8,12,0.0,0.0,1.0,15.5,False,WestHam_Bournemouth_20250405
Emiliano Martínez,ar ARG,32-215,90,3,1.0,2.0,66.7,0.8,8,27,29.6,50,6,40.0,34.9,14,2.0,14.3,0.0,6.0,True,AstonVilla_Nott'hamForest_20250405
Matz Sels,be BEL,33-038,90,8,2.0,6.0,75.0,2.9,4,12,33.3,16,6,56.3,37.8,12,0.0,0.0,0.0,6.3,False,AstonVilla_Nott'hamForest_20250405
Bernd Leno,de GER,33-033,90,6,2.0,4.0,66.7,2.0,9,18,50.0,34,4,47.1,40.1,17,0.0,0.0,0.0,9.5,True,Fulham_Liverpool_20250406
Caoimhín Kelleher,ie IRL,26-134,90,6,3.0,3.0,50.0,1.3,1,10,10.0,43,5,23.3,26.5,11,1.0,9.1,0.0,8.0,False,Fulham_Liverpool_20250406
Mark Flekken,nl NED,31-297,90,5,0.0,5.0,100.0,1.1,10,26,38.5,40,4,42.5,37.4,13,2.0,15.4,1.0,10.8,True,Brentford_Chelsea_20250406
Robert Sánchez,es ESP,27-139,90,2,0.0,2.0,100.0,0.5,6,23,26.1,44,5,45.5,40.1,15,0.0,0.0,4.0,22.6,False,Brentford_Chelsea_20250406
Guglielmo Vicario,it ITA,28-181,90,4,1.0,3.0,75.0,0.4,1,4,25.0,40,10,10.0,23.3,13,4.0,30.8,2.0,16.3,True,Tottenham_Southampton_20250406
Aaron Ramsdale,eng ENG,26-327,90,8,3.0,5.0,75.0,3.5,2,9,22.2,19,1,42.1,33.8,12,0.0,0.0,1.0,14.7,False,Tottenham_Southampton_20250406
André Onana,cm CMR,29-004,90,5,0.0,5.0,100.0,0.3,4,14,28.6,28,6,35.7,29.6,5,1.0,20.0,0.0,6.0,True,ManchesterUtd_ManchesterCity_20250406
Ederson,br BRA,31-232,90,2,0.0,2.0,100.0,0.2,1,3,33.3,22,6,9.1,25.2,13,1.0,7.7,0.0,6.0,False,ManchesterUtd_ManchesterCity_20250406
Mads Hermansen,dk DEN,24-270,90,5,3.0,2.0,40.0,2.9,10,31,32.3,46,1,58.7,41.4,4,1.0,25.0,0.0,12.0,True,LeicesterCity_NewcastleUtd_20250407
Nick Pope,eng ENG,32-353,90,2,0.0,2.0,100.0,0.4,2,8,25.0,18,7,16.7,30.4,21,1.0,4.8,4.0,18.8,False,LeicesterCity_NewcastleUtd_20250407
Ederson,br BRA,31-238,70,2,2.0,,0.0,2.0,1,1,100.0,28,3,,25.9,5,,,1.0,19.0,True,ManchesterCity_CrystalPalace_20250412
Stefan Ortega,de GER,32-157,20,1,0.0,1.0,100.0,0.2,0,2,0.0,13,0,15.4,28.5,6,0.0,0.0,0.0,2.0,True,ManchesterCity_CrystalPalace_20250412
Dean Henderson,eng ENG,28-031,90,8,5.0,3.0,37.5,4.0,7,13,53.8,28,2,39.3,32.1,9,1.0,11.1,0.0,11.8,False,ManchesterCity_CrystalPalace_20250412
Bart Verbruggen,nl NED,22-237,90,6,2.0,4.0,66.7,1.5,2,6,33.3,41,3,14.6,23.4,10,0.0,0.0,0.0,1.0,True,Brighton_LeicesterCity_20250412
Mads Hermansen,dk DEN,24-275,90,7,2.0,5.0,100.0,3.1,4,24,16.7,37,5,43.2,36.6,11,1.0,9.1,3.0,18.6,False,Brighton_LeicesterCity_20250412
