player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Niclas Füllkrug,11,deGER,"FW,AM",32-188,90,31,0,0,14,17,7,31,0,0,,0,,10,14,6,0,2,0,2,5,27,4,False,Sunderland_WestHam_20250816
Jarrod Bowen,20,engENG,"FW,AM",28-239,90,45,0,1,14,32,6,45,5,2,40.0,3,60.0,18,107,50,2,2,0,4,0,31,12,False,Sunderland_WestHam_20250816
Lucas Paquetá,10,brBRA,"AM,DM,CM",27-354,90,75,0,8,43,25,2,75,3,0,0.0,3,100.0,30,117,53,0,1,0,1,0,58,4,False,Sunderland_WestHam_20250816
Guido Rodríguez,24,arARG,CM,31-126,70,42,1,9,23,10,0,42,0,0,,0,,14,50,5,0,0,0,0,0,23,3,False,Sunderland_WestHam_20250816
Callum Wilson,9,engENG,FW,33-170,20,6,0,0,1,5,3,6,1,0,0.0,0,0.0,4,10,2,0,0,0,2,0,4,2,False,Sunderland_WestHam_20250816
James Ward-Prowse,8,engENG,CM,30-288,70,56,1,9,37,10,1,56,0,0,,0,,26,177,58,0,0,0,1,0,41,4,False,Sunderland_WestHam_20250816
Tomáš Souček,28,czCZE,"DM,CM",30-170,20,15,0,0,9,6,2,15,1,0,0.0,1,100.0,5,30,22,1,0,0,0,0,9,1,False,Sunderland_WestHam_20250816
El Hadji Malick Diouf,12,snSEN,"WB,LB",20-231,90,52,1,15,13,24,2,52,1,1,100.0,0,0.0,17,79,29,0,1,0,1,1,33,6,False,Sunderland_WestHam_20250816
Aaron Wan-Bissaka,29,cdCOD,"WB,RB",27-263,90,93,2,17,38,40,4,93,5,3,60.0,1,20.0,53,264,118,4,1,0,0,0,65,11,False,Sunderland_WestHam_20250816
Nayef Aguerd,5,maMAR,CB,29-139,90,77,4,22,50,5,0,77,1,1,100.0,0,0.0,33,194,84,1,0,0,1,0,52,0,False,Sunderland_WestHam_20250816
Max Kilman,3,engENG,CB,28-085,90,84,12,33,47,4,0,84,0,0,,0,,44,269,165,0,1,0,1,0,57,1,False,Sunderland_WestHam_20250816
Jean-Clair Todibo,25,frFRA,CB,25-229,81,78,3,26,43,10,0,78,1,0,0.0,0,0.0,44,318,212,2,4,0,1,0,57,1,False,Sunderland_WestHam_20250816
Andy Irving,39,sctSCO,AM,25-095,9,13,0,0,6,8,0,13,0,0,,0,,3,9,6,0,2,0,0,0,3,0,False,Sunderland_WestHam_20250816
Mads Hermansen,1,dkDEN,GK,25-036,90,39,25,38,1,0,0,39,0,0,,0,,27,153,72,0,0,0,0,0,27,0,False,Sunderland_WestHam_20250816
Georginio Rutter,10,frFRA,FW,23-118,68,18,0,1,6,11,1,18,1,0,0.0,1,100.0,13,70,27,1,0,1,6,2,15,7,True,Brighton_Fulham_20250816
Danny Welbeck,18,engENG,FW,34-263,22,10,0,0,6,4,1,10,0,0,,0,,3,3,0,0,0,0,1,0,6,0,True,Brighton_Fulham_20250816
