player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Emi Buendía,10,arARG,LM,28-319,70,38,1,10,11,18,4,38,0,0,,0,,14,51,13,0,1,0,0,1,17,3,True,AstonVilla_Bournemouth_20251109
Ross Barkley,6,engENG,"DM,CM",31-339,20,13,0,1,9,4,1,13,0,0,,0,,6,34,30,2,2,0,0,0,8,1,True,AstonVilla_Bournemouth_20251109
Amadou Onana,24,beBEL,CM,24-085,70,36,4,9,20,8,1,36,1,1,100.0,0,0.0,18,96,45,0,2,0,0,0,22,0,True,AstonVilla_Bournemouth_20251109
Jadon Sancho,19,engENG,"LW,LM",25-229,20,12,0,0,8,5,0,12,1,1,100.0,0,0.0,7,21,5,0,0,0,1,0,9,1,True,AstonVilla_Bournemouth_20251109
Boubacar Kamara,44,frFRA,CM,25-351,80,40,2,11,18,11,0,40,1,0,0.0,1,100.0,16,55,13,0,0,0,0,1,22,0,True,AstonVilla_Bournemouth_20251109
Donyell Malen,17,nlNED,"DM,CM",26-304,10,6,0,0,3,3,3,6,0,0,,0,,2,6,1,0,0,0,0,0,4,1,True,AstonVilla_Bournemouth_20251109
John McGinn,7,sctSCO,RM,31-022,70,31,1,4,13,14,2,31,0,0,,0,,12,24,10,0,0,0,2,1,18,1,True,AstonVilla_Bournemouth_20251109
Youri Tielemans,8,beBEL,"RW,RM",28-186,20,19,2,5,11,3,0,19,0,0,,0,,9,91,4,0,1,0,0,0,15,1,True,AstonVilla_Bournemouth_20251109
Lucas Digne,12,frFRA,LB,32-112,90,49,1,11,21,18,0,49,2,1,50.0,1,50.0,19,74,47,0,1,0,2,2,25,5,True,AstonVilla_Bournemouth_20251109
Pau Torres,14,esESP,CB,28-297,90,36,7,19,16,1,1,36,0,0,,0,,15,137,117,0,0,0,1,0,16,0,True,AstonVilla_Bournemouth_20251109
Ezri Konsa,4,engENG,CB,28-017,90,52,10,39,10,3,3,52,0,0,,0,,23,101,40,0,0,0,1,1,38,0,True,AstonVilla_Bournemouth_20251109
Matty Cash,2,plPOL,RB,28-094,90,48,2,18,17,13,1,48,0,0,,0,,16,56,15,0,0,0,0,2,22,2,True,AstonVilla_Bournemouth_20251109
Emiliano Martínez,23,arARG,GK,33-068,90,49,36,48,1,0,0,49,0,0,,0,,22,133,69,0,0,0,0,0,24,0,True,AstonVilla_Bournemouth_20251109
Evanilson,9,brBRA,FW,26-034,76,23,2,3,7,13,5,23,0,0,,0,,15,77,34,1,0,0,2,0,15,1,False,AstonVilla_Bournemouth_20251109
David Brooks,7,wlsWAL,AM,28-124,14,6,0,0,3,3,1,6,0,0,,0,,4,11,6,0,0,0,0,0,5,2,False,AstonVilla_Bournemouth_20251109
Marcus Tavernier,16,engENG,"LW,LB",26-232,90,53,2,6,24,24,1,53,7,4,57.1,3,42.9,34,268,153,5,3,1,1,0,33,1,False,AstonVilla_Bournemouth_20251109
Antoine Semenyo,24,ghGHA,RW,25-306,90,31,0,6,18,8,2,30,5,0,0.0,5,100.0,19,133,50,1,0,1,1,0,17,2,False,AstonVilla_Bournemouth_20251109
Justin Kluivert,19,nlNED,AM,26-188,62,26,0,3,11,13,2,26,0,0,,0,,21,137,52,1,1,0,1,2,19,5,False,AstonVilla_Bournemouth_20251109
Eli Junior Kroupi,22,frFRA,"FW,AM",19-139,28,13,0,1,7,5,0,13,1,1,100.0,0,0.0,9,36,13,1,0,0,1,0,7,1,False,AstonVilla_Bournemouth_20251109
Tyler Adams,12,usUSA,DM,26-268,90,44,4,11,25,8,0,44,2,0,0.0,2,100.0,31,168,73,1,2,0,2,0,29,0,False,AstonVilla_Bournemouth_20251109
Alex Scott,8,engENG,DM,22-080,62,36,5,11,13,14,0,36,2,2,100.0,0,0.0,17,117,36,1,0,0,1,2,16,0,False,AstonVilla_Bournemouth_20251109
Ryan Christie,10,sctSCO,DM,30-260,28,21,1,3,11,7,0,21,5,3,60.0,2,40.0,12,148,30,0,1,0,0,0,13,0,False,AstonVilla_Bournemouth_20251109
Adrien Truffert,3,frFRA,LB,23-354,62,41,5,16,15,11,1,41,1,1,100.0,0,0.0,21,95,58,0,0,0,1,1,18,2,False,AstonVilla_Bournemouth_20251109
Amine Adli,21,maMAR,LW,25-183,28,14,1,1,4,9,0,14,0,0,,0,,11,92,62,3,2,0,1,0,11,3,False,AstonVilla_Bournemouth_20251109
Marcos Senesi,5,arARG,CB,28-183,90,57,10,33,22,2,0,57,0,0,,0,,32,133,71,0,0,0,0,0,31,0,False,AstonVilla_Bournemouth_20251109
Veljko Milosavljević,44,rsSRB,CB,18-134,90,54,7,36,18,1,0,54,0,0,,0,,31,175,62,0,0,0,3,1,28,0,False,AstonVilla_Bournemouth_20251109
Adam Smith,15,engENG,RB,34-194,9,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,AstonVilla_Bournemouth_20251109
Álex Jiménez,20,esESP,RB,20-185,36,25,2,8,15,2,0,25,3,1,33.3,2,66.7,10,69,14,1,0,0,2,0,10,0,False,AstonVilla_Bournemouth_20251109
Lewis Cook,4,engENG,RB,28-279,45,32,1,6,16,10,0,32,0,0,,0,,16,53,20,0,0,0,1,0,14,1,False,AstonVilla_Bournemouth_20251109
Đorđe Petrović,1,rsSRB,GK,26-032,90,21,18,21,0,0,0,21,0,0,,0,,11,78,37,0,0,0,0,0,7,0,False,AstonVilla_Bournemouth_20251109
Igor Jesus,19,brBRA,FW,24-257,58,24,0,0,6,18,6,24,2,0,0.0,2,100.0,12,48,11,1,0,0,2,0,20,3,True,Nott'hamForest_LeedsUnited_20251109
Taiwo Awoniyi,9,ngNGA,FW,28-089,32,9,1,1,4,4,1,9,1,0,0.0,1,100.0,4,3,0,0,0,0,1,0,6,2,True,Nott'hamForest_LeedsUnited_20251109
Nicolás Domínguez,16,arARG,LW,27-134,58,30,0,4,14,12,0,30,0,0,,0,,16,85,68,1,2,0,0,0,17,6,True,Nott'hamForest_LeedsUnited_20251109
Omari Hutchinson,21,engENG,"RW,RM",22-010,32,18,0,6,4,11,2,18,3,2,66.7,1,33.3,15,140,98,2,1,2,1,1,11,3,True,Nott'hamForest_LeedsUnited_20251109
Dan Ndoye,14,chSUI,"RW,LW,LM",25-015,90,38,1,15,9,16,4,38,2,1,50.0,1,50.0,20,123,44,2,0,1,6,0,21,8,True,Nott'hamForest_LeedsUnited_20251109
Morgan Gibbs-White,10,engENG,AM,25-286,87,36,1,1,11,24,5,36,2,1,50.0,1,50.0,25,123,66,2,2,0,2,0,27,8,True,Nott'hamForest_LeedsUnited_20251109
Morato,4,brBRA,CB,24-132,3,3,1,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,True,Nott'hamForest_LeedsUnited_20251109
Elliot Anderson,8,engENG,"DM,CM",23-003,90,66,3,19,31,16,1,65,3,0,0.0,3,100.0,36,214,98,2,0,0,5,1,37,3,True,Nott'hamForest_LeedsUnited_20251109
Ibrahim Sangaré,6,ciCIV,DM,27-342,58,35,1,9,24,5,1,35,1,1,100.0,0,0.0,21,97,65,0,2,0,2,0,20,1,True,Nott'hamForest_LeedsUnited_20251109
Ryan Yates,22,engENG,"DM,CM",27-353,32,9,1,4,2,3,0,9,0,0,,0,,2,1,0,0,0,0,0,0,2,0,True,Nott'hamForest_LeedsUnited_20251109
Neco Williams,3,wlsWAL,LB,24-210,90,72,3,26,24,23,1,72,2,1,50.0,1,50.0,30,130,57,1,2,0,3,2,31,5,True,Nott'hamForest_LeedsUnited_20251109
Murillo,5,brBRA,CB,23-128,90,71,7,32,38,1,1,71,1,1,100.0,0,0.0,45,214,111,0,0,0,0,1,43,0,True,Nott'hamForest_LeedsUnited_20251109
Nikola Milenković,31,rsSRB,CB,28-028,90,56,10,36,20,0,0,56,0,0,,0,,31,133,69,0,0,0,1,0,30,0,True,Nott'hamForest_LeedsUnited_20251109
Nicolò Savona,37,itITA,RB,22-235,90,49,5,21,14,14,1,49,0,0,,0,,22,59,10,0,0,0,1,0,21,6,True,Nott'hamForest_LeedsUnited_20251109
Matz Sels,26,beBEL,GK,33-256,90,27,20,26,1,0,0,27,0,0,,0,,17,82,34,0,0,0,0,0,11,0,True,Nott'hamForest_LeedsUnited_20251109
Lukas Nmecha,14,deGER,FW,26-330,73,18,3,3,6,9,2,18,0,0,,0,,9,65,46,3,1,1,1,2,12,3,False,Nott'hamForest_LeedsUnited_20251109
Dominic Calvert-Lewin,9,engENG,FW,28-238,17,7,0,0,1,6,4,7,1,0,0.0,1,100.0,4,7,3,0,0,0,0,0,6,1,False,Nott'hamForest_LeedsUnited_20251109
Noah Okafor,19,chSUI,LW,25-169,90,30,1,7,6,18,3,30,4,0,0.0,4,100.0,16,140,88,4,3,2,3,0,17,7,False,Nott'hamForest_LeedsUnited_20251109
Brenden Aaronson,11,usUSA,RW,25-018,73,35,1,6,20,10,0,35,8,1,12.5,6,75.0,17,66,14,0,1,0,2,1,14,2,False,Nott'hamForest_LeedsUnited_20251109
Daniel James,7,wlsWAL,RW,27-364,17,11,0,1,4,6,1,11,0,0,,0,,7,37,25,0,0,0,1,1,7,5,False,Nott'hamForest_LeedsUnited_20251109
Anton Stach,18,deGER,"LM,DM",26-359,90,67,5,20,34,13,4,67,3,0,0.0,2,66.7,34,215,93,1,0,1,2,1,38,1,False,Nott'hamForest_LeedsUnited_20251109
Ethan Ampadu,4,wlsWAL,"CM,DM",25-056,90,57,0,12,35,10,1,57,0,0,,0,,20,137,80,1,0,0,1,0,27,2,False,Nott'hamForest_LeedsUnited_20251109
Sean Longstaff,8,engENG,RM,28-010,73,45,1,8,32,6,0,45,1,0,0.0,1,100.0,15,55,12,0,0,0,1,0,21,0,False,Nott'hamForest_LeedsUnited_20251109
Joël Piroe,10,nlNED,AM,26-099,17,9,0,2,7,0,0,9,0,0,,0,,7,26,12,0,0,0,0,0,9,1,False,Nott'hamForest_LeedsUnited_20251109
Gabriel Gudmundsson,3,seSWE,LB,26-194,81,38,3,16,13,10,3,38,3,2,66.7,1,33.3,19,177,126,2,1,1,0,2,22,5,False,Nott'hamForest_LeedsUnited_20251109
Jack Harrison,20,engENG,LB,28-354,9,15,1,7,4,4,0,15,1,0,0.0,1,100.0,8,25,22,0,0,0,0,0,9,1,False,Nott'hamForest_LeedsUnited_20251109
Jaka Bijol,15,siSVN,CB,26-277,81,77,9,41,36,0,0,77,1,1,100.0,0,0.0,57,387,297,1,0,0,0,0,62,0,False,Nott'hamForest_LeedsUnited_20251109
Pascal Struijk,5,nlNED,CB,26-090,9,17,1,5,11,1,0,17,0,0,,0,,9,80,65,1,0,0,0,0,11,0,False,Nott'hamForest_LeedsUnited_20251109
Joe Rodon,6,wlsWAL,CB,28-018,90,94,6,45,49,2,2,94,0,0,,0,,60,358,204,1,0,0,1,0,65,0,False,Nott'hamForest_LeedsUnited_20251109
Jayden Bogle,2,engENG,RB,25-105,90,48,2,16,24,8,0,48,3,1,33.3,2,66.7,22,82,22,0,0,0,1,2,23,3,False,Nott'hamForest_LeedsUnited_20251109
Lucas Perri,1,brBRA,GK,27-334,90,44,34,43,1,0,0,44,0,0,,0,,28,156,143,0,0,0,0,0,26,0,False,Nott'hamForest_LeedsUnited_20251109
Jean-Philippe Mateta,14,frFRA,FW,28-134,90,24,2,2,15,7,4,24,2,1,50.0,1,50.0,14,55,27,1,1,2,1,0,17,4,True,CrystalPalace_Brighton_20251109
Daichi Kamada,18,jpJPN,"AM,CM",29-096,82,39,1,9,17,14,2,39,1,1,100.0,0,0.0,23,126,72,3,1,1,2,2,26,4,True,CrystalPalace_Brighton_20251109
Will Hughes,19,engENG,CM,30-206,8,4,0,1,3,0,0,4,0,0,,0,,3,2,1,0,0,0,0,0,3,0,True,CrystalPalace_Brighton_20251109
Ismaila Sarr,7,snSEN,AM,27-257,90,29,3,7,17,5,3,29,2,1,50.0,1,50.0,17,72,35,2,0,0,3,2,21,3,True,CrystalPalace_Brighton_20251109
Jefferson Lerma,8,coCOL,CM,31-015,90,61,1,14,35,12,3,61,0,0,,0,,20,44,25,0,0,0,1,0,29,1,True,CrystalPalace_Brighton_20251109
Adam Wharton,20,engENG,CM,21-276,65,35,1,8,18,9,0,35,2,1,50.0,1,50.0,19,79,26,0,0,0,1,1,20,1,True,CrystalPalace_Brighton_20251109
Yeremi Pino,10,esESP,AM,23-020,25,21,1,3,8,10,4,21,0,0,,0,,12,31,17,1,0,1,1,1,13,3,True,CrystalPalace_Brighton_20251109
Tyrick Mitchell,3,engENG,WB,26-069,90,77,4,34,34,10,1,77,1,0,0.0,1,100.0,38,131,35,0,0,0,5,3,33,5,True,CrystalPalace_Brighton_20251109
Daniel Muñoz,2,coCOL,WB,29-167,90,32,3,8,14,10,1,32,1,0,0.0,1,100.0,15,100,51,1,1,0,4,1,17,6,True,CrystalPalace_Brighton_20251109
Jaydee Canvot,23,frFRA,CB,19-103,90,65,9,43,16,6,3,65,0,0,,0,,38,227,139,2,2,0,1,0,37,0,True,CrystalPalace_Brighton_20251109
Maxence Lacroix,5,frFRA,CB,25-217,90,42,8,21,18,3,3,42,0,0,,0,,20,109,54,0,0,0,0,0,24,0,True,CrystalPalace_Brighton_20251109
Chris Richards,26,usUSA,CB,25-226,90,55,7,25,25,5,4,55,0,0,,0,,31,145,55,0,0,0,0,0,31,0,True,CrystalPalace_Brighton_20251109
Dean Henderson,1,engENG,GK,28-242,90,40,35,40,0,0,0,40,0,0,,0,,20,82,36,0,0,0,0,0,19,0,True,CrystalPalace_Brighton_20251109
Danny Welbeck,18,engENG,FW,34-348,84,23,3,6,6,11,2,23,0,0,,0,,13,35,2,0,0,0,2,3,16,3,False,CrystalPalace_Brighton_20251109
Stefanos Tzimas,9,grGRE,FW,19-307,6,3,0,0,0,3,1,3,0,0,,0,,3,6,2,0,0,0,0,1,3,3,False,CrystalPalace_Brighton_20251109
Diego Gómez,25,pyPAR,LW,22-227,84,39,1,5,14,22,5,39,3,2,66.7,1,33.3,17,80,41,1,1,0,0,1,21,3,False,CrystalPalace_Brighton_20251109
Maxim De Cuyper,29,beBEL,LW,24-322,6,5,0,0,2,3,0,5,0,0,,0,,3,12,1,0,0,0,0,0,2,1,False,CrystalPalace_Brighton_20251109
Yankuba Minteh,11,gmGAM,RW,21-110,90,39,0,1,5,33,6,39,3,1,33.3,2,66.7,25,119,35,1,0,3,4,4,29,13,False,CrystalPalace_Brighton_20251109
Georginio Rutter,10,frFRA,AM,23-203,74,35,2,4,18,13,1,35,2,0,0.0,2,100.0,22,95,35,1,1,0,8,0,26,4,False,CrystalPalace_Brighton_20251109
Charalampos Kostoulas,19,grGRE,AM,18-163,16,14,0,3,5,6,1,14,1,0,0.0,1,100.0,8,17,2,0,0,0,3,2,7,0,False,CrystalPalace_Brighton_20251109
Yasin Ayari,26,seSWE,DM,22-034,90,65,1,21,35,9,1,65,0,0,,0,,39,85,20,0,0,0,1,0,44,1,False,CrystalPalace_Brighton_20251109
Carlos Baleba,17,cmCMR,DM,21-310,74,32,1,5,24,3,0,32,1,1,100.0,0,0.0,16,109,59,2,0,0,0,1,16,0,False,CrystalPalace_Brighton_20251109
Joël Veltman,34,nlNED,RB,33-298,16,15,0,4,3,8,0,15,0,0,,0,,6,30,6,1,0,0,0,0,5,2,False,CrystalPalace_Brighton_20251109
Ferdi Kadioglu,24,trTUR,LB,26-033,90,58,1,10,30,18,0,58,0,0,,0,,31,178,113,3,4,0,1,1,36,2,False,CrystalPalace_Brighton_20251109
Lewis Dunk,5,engENG,CB,33-353,90,109,14,53,53,3,1,109,0,0,,0,,62,232,104,0,0,0,1,0,78,0,False,CrystalPalace_Brighton_20251109
Jan Paul van Hecke,6,nlNED,CB,25-154,90,112,9,58,53,2,1,112,0,0,,0,,81,393,257,1,1,0,0,0,88,0,False,CrystalPalace_Brighton_20251109
Mats Wieffer,27,nlNED,"RB,DM",25-358,90,72,3,21,32,19,6,72,2,0,0.0,2,100.0,38,119,46,2,1,1,1,0,36,2,False,CrystalPalace_Brighton_20251109
Bart Verbruggen,1,nlNED,GK,23-083,90,42,35,42,0,0,0,42,0,0,,0,,26,66,32,0,0,0,0,0,26,0,False,CrystalPalace_Brighton_20251109
Thiago,9,brBRA,FW,24-136,90,41,1,6,22,15,6,40,1,1,100.0,0,0.0,15,124,72,2,1,1,5,0,19,1,True,Brentford_NewcastleUtd_20251109
Kevin Schade,7,deGER,LW,23-347,90,32,3,6,12,15,6,32,2,0,0.0,2,100.0,18,153,93,2,2,0,1,3,22,5,True,Brentford_NewcastleUtd_20251109
Dango Ouattara,19,bfBFA,RW,23-271,89,40,2,4,13,23,3,40,3,1,33.3,2,66.7,19,169,114,5,2,4,2,0,25,10,True,Brentford_NewcastleUtd_20251109
Reiss Nelson,11,engENG,RW,25-334,1,4,0,0,3,2,0,4,0,0,,0,,3,7,5,0,1,0,0,0,3,1,True,Brentford_NewcastleUtd_20251109
Mikkel Damsgaard,24,dkDEN,AM,25-129,83,40,0,5,20,16,1,40,0,0,,0,,19,78,58,1,1,0,5,0,25,5,True,Brentford_NewcastleUtd_20251109
Mathias Jensen,8,dkDEN,AM,29-312,7,16,0,1,8,7,1,16,0,0,,0,,8,23,5,0,0,0,0,1,11,1,True,Brentford_NewcastleUtd_20251109
Yehor Yarmoliuk,18,uaUKR,DM,21-253,83,57,2,19,28,10,1,57,1,0,0.0,1,100.0,26,120,32,0,1,0,0,0,39,2,True,Brentford_NewcastleUtd_20251109
Vitaly Janelt,27,deGER,DM,27-183,7,17,0,2,13,2,0,17,0,0,,0,,1,4,0,0,0,0,0,0,13,0,True,Brentford_NewcastleUtd_20251109
Jordan Henderson,6,engENG,DM,35-145,90,70,1,8,53,9,0,70,0,0,,0,,29,155,65,1,0,0,1,0,51,2,True,Brentford_NewcastleUtd_20251109
Aaron Hickey,2,sctSCO,LB,23-152,69,41,1,17,12,12,5,41,0,0,,0,,10,50,20,0,1,0,1,0,16,2,True,Brentford_NewcastleUtd_20251109
Rico Henry,3,engENG,LB,28-124,21,15,1,3,7,5,1,15,1,1,100.0,0,0.0,7,62,41,2,1,1,0,0,9,2,True,Brentford_NewcastleUtd_20251109
Sepp van den Berg,4,nlNED,CB,23-324,90,55,9,28,21,7,5,55,0,0,,0,,16,118,69,0,0,0,0,0,31,1,True,Brentford_NewcastleUtd_20251109
Nathan Collins,22,ieIRL,CB,24-193,90,64,11,35,23,7,3,64,0,0,,0,,32,128,63,0,0,0,0,1,39,0,True,Brentford_NewcastleUtd_20251109
Michael Kayode,33,itITA,RB,21-122,90,51,1,15,23,15,0,51,4,4,100.0,0,0.0,19,172,72,2,2,0,1,0,18,2,True,Brentford_NewcastleUtd_20251109
Caoimhín Kelleher,1,ieIRL,GK,26-351,90,23,18,23,0,0,0,23,1,1,100.0,0,0.0,9,46,22,0,0,0,0,0,17,0,True,Brentford_NewcastleUtd_20251109
Nick Woltemade,27,deGER,FW,23-268,90,25,2,2,18,5,3,25,2,0,0.0,2,100.0,17,36,8,0,1,0,3,3,19,4,False,Brentford_NewcastleUtd_20251109
Harvey Barnes,11,engENG,LW,27-335,76,26,0,0,13,13,2,26,2,1,50.0,1,50.0,20,100,67,2,2,0,1,1,21,8,False,Brentford_NewcastleUtd_20251109
Lewis Hall,3,engENG,LB,21-062,14,19,2,6,9,5,2,19,0,0,,0,,10,23,7,0,0,0,1,1,11,1,False,Brentford_NewcastleUtd_20251109
Jacob Murphy,23,engENG,RW,30-258,76,28,0,1,11,16,1,28,0,0,,0,,21,89,18,0,1,0,1,0,25,9,False,Brentford_NewcastleUtd_20251109
Anthony Elanga,20,seSWE,RW,23-196,14,12,0,1,6,6,0,12,1,0,0.0,1,100.0,7,20,1,1,0,0,0,0,10,4,False,Brentford_NewcastleUtd_20251109
Joelinton,7,brBRA,LM,29-087,23,18,3,4,13,1,0,18,0,0,,0,,5,10,4,0,0,0,0,0,8,2,False,Brentford_NewcastleUtd_20251109
Jacob Ramsey,41,engENG,LM,24-165,67,49,0,9,34,7,1,49,2,1,50.0,1,50.0,39,188,87,2,3,0,0,0,41,3,False,Brentford_NewcastleUtd_20251109
Sandro Tonali,8,itITA,CM,25-185,76,50,2,13,35,3,0,50,1,1,100.0,0,0.0,24,76,15,0,0,0,0,2,28,0,False,Brentford_NewcastleUtd_20251109
Joe Willock,28,engENG,CM,26-081,14,9,0,1,6,2,0,9,0,0,,0,,5,4,1,0,0,0,1,0,6,0,False,Brentford_NewcastleUtd_20251109
Bruno Guimarães,39,brBRA,RM,27-358,89,61,6,14,34,14,2,61,3,2,66.7,1,33.3,42,103,41,1,0,1,1,0,44,2,False,Brentford_NewcastleUtd_20251109
Lewis Miley,67,engENG,RM,19-192,1,1,0,0,1,0,0,1,0,0,,0,,1,2,2,0,0,0,0,0,1,0,False,Brentford_NewcastleUtd_20251109
Dan Burn,33,engENG,LB,33-184,72,60,9,27,29,4,0,60,1,0,0.0,1,100.0,18,42,20,1,0,0,2,0,23,2,False,Brentford_NewcastleUtd_20251109
Sven Botman,4,nlNED,CB,25-301,90,66,5,47,17,2,0,66,0,0,,0,,41,130,72,0,0,0,0,0,40,1,False,Brentford_NewcastleUtd_20251109
Malick Thiaw,12,deGER,CB,24-093,90,59,13,30,24,5,2,59,2,1,50.0,1,50.0,35,130,76,1,1,0,0,0,36,1,False,Brentford_NewcastleUtd_20251109
Kieran Trippier,2,engENG,RB,35-051,90,77,2,21,34,22,0,77,1,1,100.0,0,0.0,47,154,40,2,0,0,1,1,52,7,False,Brentford_NewcastleUtd_20251109
Nick Pope,1,engENG,GK,33-204,76,28,24,28,0,0,0,28,0,0,,0,,14,68,39,0,0,0,0,0,7,0,False,Brentford_NewcastleUtd_20251109
Aaron Ramsdale,32,engENG,GK,27-179,14,8,6,8,0,0,0,8,0,0,,0,,3,8,2,0,0,0,0,0,3,0,False,Brentford_NewcastleUtd_20251109
Erling Haaland,9,noNOR,FW,25-111,90,19,1,1,8,10,6,18,0,0,,0,,7,37,28,1,1,0,2,1,16,2,True,ManchesterCity_Liverpool_20251109
Jeremy Doku,11,beBEL,LW,23-166,73,40,0,6,9,27,7,40,8,7,87.5,1,12.5,30,370,298,11,5,5,1,1,29,5,True,ManchesterCity_Liverpool_20251109
Omar Marmoush,7,egEGY,LW,26-275,17,10,1,1,4,5,0,10,0,0,,0,,6,21,2,0,0,0,2,0,8,3,True,ManchesterCity_Liverpool_20251109
Rayan Cherki,10,frFRA,RW,22-084,52,30,1,4,9,17,4,30,1,0,0.0,1,100.0,19,114,77,3,2,1,2,1,23,3,True,ManchesterCity_Liverpool_20251109
Sávio,26,brBRA,RW,21-213,38,21,1,5,6,11,2,21,0,0,,0,,9,69,51,3,3,1,0,0,15,3,True,ManchesterCity_Liverpool_20251109
Phil Foden,47,engENG,LM,25-165,90,41,1,13,15,13,0,41,1,0,0.0,1,100.0,19,102,51,0,0,0,0,0,29,0,True,ManchesterCity_Liverpool_20251109
Nicolás González,14,esESP,CM,23-310,90,67,4,22,36,10,1,67,0,0,,0,,37,156,66,0,0,0,1,0,49,2,True,ManchesterCity_Liverpool_20251109
Bernardo Silva,20,ptPOR,RM,31-091,90,69,4,21,32,17,0,69,0,0,,0,,39,332,182,3,5,0,0,1,52,2,True,ManchesterCity_Liverpool_20251109
Nico O’Reilly,33,engENG,LB,20-233,90,58,5,23,20,15,3,58,2,1,50.0,1,50.0,20,84,41,2,1,1,1,0,27,6,True,ManchesterCity_Liverpool_20251109
Joško Gvardiol,24,hrCRO,CB,23-290,90,68,13,37,28,3,1,68,0,0,,0,,36,169,75,0,0,0,3,0,43,0,True,ManchesterCity_Liverpool_20251109
Rúben Dias,3,ptPOR,CB,28-179,90,58,9,38,20,0,0,58,0,0,,0,,36,121,27,0,0,0,0,0,42,0,True,ManchesterCity_Liverpool_20251109
Matheus Nunes,27,ptPOR,RB,27-074,90,65,6,27,25,14,0,65,1,1,100.0,0,0.0,33,217,145,3,1,0,1,0,38,0,True,ManchesterCity_Liverpool_20251109
Gianluigi Donnarumma,25,itITA,GK,26-257,90,29,26,28,1,0,0,29,0,0,,0,,19,52,32,0,0,0,0,0,17,0,True,ManchesterCity_Liverpool_20251109
Hugo Ekitike,22,frFRA,FW,23-142,55,10,0,0,4,6,2,10,0,0,,0,,7,10,0,0,1,0,2,1,6,0,False,ManchesterCity_Liverpool_20251109
Cody Gakpo,18,nlNED,LW,26-186,35,21,1,1,9,11,2,21,0,0,,0,,12,53,37,2,1,0,0,0,13,2,False,ManchesterCity_Liverpool_20251109
Florian Wirtz,7,deGER,"LW,FW",22-190,82,34,1,4,15,15,2,34,2,1,50.0,1,50.0,27,128,44,1,0,0,1,1,26,5,False,ManchesterCity_Liverpool_20251109
Federico Chiesa,14,itITA,FW,28-015,8,3,0,0,3,0,0,3,0,0,,0,,1,6,0,0,0,0,0,0,1,0,False,ManchesterCity_Liverpool_20251109
Mohamed Salah,11,egEGY,RW,33-147,90,45,0,3,12,30,6,45,3,0,0.0,3,100.0,33,247,136,6,1,1,2,1,36,14,False,ManchesterCity_Liverpool_20251109
Dominik Szoboszlai,8,huHUN,AM,25-015,90,55,2,5,35,15,2,55,1,1,100.0,0,0.0,42,177,106,3,0,0,1,1,38,5,False,ManchesterCity_Liverpool_20251109
Alexis Mac Allister,10,arARG,DM,26-320,73,38,3,6,23,9,0,38,0,0,,0,,25,82,33,0,0,0,1,1,29,0,False,ManchesterCity_Liverpool_20251109
Curtis Jones,17,engENG,DM,24-283,17,14,0,2,9,3,0,14,0,0,,0,,11,48,21,0,0,0,0,1,12,0,False,ManchesterCity_Liverpool_20251109
Ryan Gravenberch,38,nlNED,DM,23-177,90,61,0,7,46,8,1,61,3,1,33.3,2,66.7,48,204,61,1,1,0,1,2,48,2,False,ManchesterCity_Liverpool_20251109
Andrew Robertson,26,sctSCO,LB,31-243,55,40,2,11,21,9,0,40,1,0,0.0,1,100.0,24,57,21,0,1,0,2,0,22,2,False,ManchesterCity_Liverpool_20251109
Milos Kerkez,6,huHUN,LB,22-002,35,18,0,1,11,6,1,18,0,0,,0,,13,39,11,0,0,0,1,0,14,2,False,ManchesterCity_Liverpool_20251109
Virgil van Dijk,4,nlNED,CB,34-124,90,56,6,20,32,4,3,56,0,0,,0,,31,117,69,0,0,0,1,0,40,1,False,ManchesterCity_Liverpool_20251109
Ibrahima Konaté,5,frFRA,CB,26-168,90,79,15,51,28,0,0,79,1,0,0.0,1,100.0,59,189,94,0,0,0,0,0,59,0,False,ManchesterCity_Liverpool_20251109
Conor Bradley,12,nirNIR,RB,22-123,82,64,2,16,30,18,3,64,1,1,100.0,0,0.0,37,133,63,1,0,0,0,0,36,4,False,ManchesterCity_Liverpool_20251109
Joe Gomez,2,engENG,RB,28-170,8,7,0,5,2,0,0,7,0,0,,0,,4,15,6,0,0,0,0,0,4,0,False,ManchesterCity_Liverpool_20251109
Giorgi Mamardashvili,25,geGEO,GK,25-041,90,36,28,35,1,0,0,36,0,0,,0,,21,88,61,0,0,0,0,0,17,0,False,ManchesterCity_Liverpool_20251109
Zian Flemming,19,nlNED,FW,27-113,71,14,1,1,6,7,1,14,0,0,,0,,5,15,7,0,0,0,1,2,9,1,True,Burnley_Chelsea_20251122
Armando Broja,27,alALB,FW,24-073,19,13,1,1,2,10,3,13,0,0,,0,,5,13,0,0,0,0,0,2,11,3,True,Burnley_Chelsea_20251122
