Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
David Raya,es ESP,29-342,90,1,0.0,1,100.0,0.1,4.0,7,57.1,32.0,1.0,21.9,28.8,3,1.0,33.3,0,3.5,True,Arsenal_LeedsUnited_20250823
Lucas Perri,br BRA,27-256,90,5,5.0,0,20.0,2.8,5.0,20,25.0,26.0,3.0,46.2,40.7,13,0.0,0.0,0,14.0,False,Arsenal_LeedsUnited_20250823
Dean Henderson,eng ENG,28-165,90,1,1.0,0,0.0,0.3,1.0,13,7.7,31.0,2.0,35.5,32.7,20,1.0,5.0,0,4.0,True,CrystalPalace_Nott'hamForest_20250824
Matz Sels,be BEL,33-179,90,4,1.0,3,75.0,0.8,5.0,14,35.7,24.0,6.0,50.0,39.8,10,1.0,10.0,1,16.6,False,CrystalPalace_Nott'hamForest_20250824
Jordan Pickford,eng ENG,31-170,90,4,0.0,3,100.0,1.5,16.0,35,45.7,43.0,2.0,67.4,48.8,9,1.0,11.1,3,18.6,True,Everton_Brighton_20250824
Bart Verbruggen,nl NED,23-006,90,3,2.0,1,33.3,1.2,3.0,14,21.4,40.0,9.0,30.0,31.1,8,0.0,0.0,0,16.7,False,Everton_Brighton_20250824
Bernd Leno,de GER,33-173,90,3,1.0,3,66.7,0.5,2.0,13,15.4,33.0,4.0,24.2,30.7,11,0.0,0.0,0,9.6,True,Fulham_ManchesterUtd_20250824
Altay Bayındır,tr TUR,27-132,90,3,1.0,2,66.7,1.4,3.0,15,20.0,24.0,4.0,50.0,39.3,23,1.0,4.3,0,5.0,False,Fulham_ManchesterUtd_20250824
Nick Pope,eng ENG,33-128,90,4,3.0,1,25.0,2.3,1.0,12,8.3,17.0,3.0,47.1,39.4,7,0.0,0.0,2,24.5,True,NewcastleUtd_Liverpool_20250825
Alisson,br BRA,32-327,90,3,2.0,1,33.3,1.9,6.0,16,37.5,36.0,4.0,38.9,35.1,19,1.0,5.3,5,16.4,False,NewcastleUtd_Liverpool_20250825
