Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Reece James,24.0,eng ENG,RB,25-257,22,25,27,92.6,416,105,14,15,93.3,8,8,100.0,3,4,75.0,0,0.3,0.1,1,3,1,0,2,False,-2477332544702716166
Robert Sánchez,1.0,es ESP,GK,27-277,90,28,40,70.0,885,694,2,2,100.0,15,15,100.0,10,22,45.5,0,0.0,0.0,0,2,0,0,0,False,-2477332544702716166
Erling Haaland,9.0,no NOR,FW,25-033,90,10,14,71.4,93,37,4,6,66.7,3,3,100.0,0,1,0.0,0,0.6,0.3,1,0,1,0,1,True,-4958986467566394092
Omar Marmoush,7.0,eg EGY,LM,26-197,53,11,16,68.8,127,1,7,8,87.5,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,-4958986467566394092
Jeremy Doku,11.0,be BEL,LM,23-088,37,11,13,84.6,144,19,8,8,100.0,3,4,75.0,0,0,,0,0.2,0.2,1,0,0,0,0,True,-4958986467566394092
Tijjani Reijnders,4.0,nl NED,CM,27-025,90,35,43,81.4,514,121,21,22,95.5,13,15,86.7,0,5,0.0,0,0.0,0.0,0,4,1,0,5,True,-4958986467566394092
Rayan Cherki,10.0,fr FRA,CM,22-006,53,35,44,79.5,535,153,19,22,86.4,13,14,92.9,2,6,33.3,0,0.5,0.4,1,4,2,0,4,True,-4958986467566394092
Bernardo Silva,20.0,pt POR,"CM,RM",31-013,37,18,21,85.7,286,16,8,10,80.0,9,9,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,True,-4958986467566394092
Oscar Bobb,52.0,no NOR,RM,22-042,74,28,30,93.3,337,111,18,19,94.7,6,6,100.0,1,2,50.0,0,0.1,0.2,2,1,2,1,2,True,-4958986467566394092
Phil Foden,47.0,eng ENG,CM,25-087,16,10,17,58.8,238,71,4,5,80.0,4,7,57.1,2,4,50.0,0,0.0,0.0,1,1,0,0,3,True,-4958986467566394092
Nicolás González,14.0,es ESP,DM,23-232,74,52,56,92.9,726,205,27,27,100.0,21,22,95.5,2,3,66.7,0,0.0,0.0,0,3,0,0,7,True,-4958986467566394092
Rodri,16.0,es ESP,DM,29-062,16,15,17,88.2,307,73,6,8,75.0,5,5,100.0,3,3,100.0,0,0.0,0.0,1,2,0,0,2,True,-4958986467566394092
Rayan Aït-Nouri,21.0,dz ALG,LB,24-078,22,9,9,100.0,151,27,5,5,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,True,-4958986467566394092
