Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Morgan Rogers,27.0,eng ENG,"AM,LW",23-057,81,25,32,78.1,349,49,19,20,95.0,4,7,57.1,2,3,66.7,0,0.3,0.3,2,0,2,0,2,False,2276761282010557586
Jadon Sancho,19.0,eng ENG,LW,25-180,9,15,18,83.3,220,75,6,6,100.0,8,9,88.9,0,1,0.0,0,0.0,0.0,0,0,3,0,3,False,2276761282010557586
Boubacar Kamara,44.0,fr FRA,DM,25-302,81,63,68,92.6,969,270,32,36,88.9,28,28,100.0,2,3,66.7,1,0.1,0.1,2,11,2,0,8,False,2276761282010557586
Lamare Bogarde,26.0,nl NED,DM,21-259,9,13,15,86.7,203,32,8,9,88.9,5,5,100.0,0,0,,0,0.0,0.0,0,2,0,0,1,False,2276761282010557586
John McGinn,7.0,sct SCO,DM,30-338,90,45,56,80.4,823,158,18,19,94.7,24,27,88.9,3,8,37.5,0,0.0,0.1,0,3,2,2,7,False,2276761282010557586
Lucas Digne,12.0,fr FRA,LB,32-063,57,32,39,82.1,467,148,19,21,90.5,13,14,92.9,0,2,0.0,0,0.0,0.0,0,0,0,0,1,False,2276761282010557586
Harvey Elliott,9.0,eng ENG,AM,22-170,33,28,34,82.4,371,55,21,22,95.5,5,6,83.3,1,4,25.0,0,0.0,0.1,0,4,1,1,2,False,2276761282010557586
Tyrone Mings,5.0,eng ENG,CB,32-192,90,66,72,91.7,1275,552,24,24,100.0,35,35,100.0,6,11,54.5,0,0.0,0.0,2,7,0,0,3,False,2276761282010557586
Ezri Konsa,4.0,eng ENG,CB,27-333,90,71,75,94.7,1238,467,31,32,96.9,35,37,94.6,5,6,83.3,0,0.0,0.0,0,11,0,0,3,False,2276761282010557586
Matty Cash,2.0,pl POL,RB,28-045,90,63,74,85.1,975,195,36,36,100.0,22,25,88.0,4,10,40.0,0,0.0,0.1,0,9,1,0,5,False,2276761282010557586
Emiliano Martínez,23.0,ar ARG,GK,33-019,90,26,28,92.9,532,202,6,6,100.0,17,17,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,False,2276761282010557586
Evanilson,9.0,br BRA,FW,25-350,90,10,14,71.4,104,17,6,7,85.7,3,4,75.0,0,0,,0,0.0,0.0,1,0,0,0,1,True,6121460781914695834
David Brooks,7.0,wls WAL,LW,28-075,62,24,41,58.5,329,49,11,13,84.6,11,18,61.1,0,7,0.0,0,0.0,0.0,1,0,0,0,0,True,6121460781914695834
Justin Kluivert,19.0,nl NED,AM,26-139,28,5,9,55.6,83,23,1,2,50.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,True,6121460781914695834
Antoine Semenyo,24.0,gh GHA,RW,25-257,90,19,26,73.1,335,95,9,12,75.0,5,6,83.3,4,7,57.1,0,0.0,0.1,1,0,0,0,1,True,6121460781914695834
Marcus Tavernier,16.0,eng ENG,"AM,LW",26-183,74,22,25,88.0,327,64,13,14,92.9,9,9,100.0,0,2,0.0,0,0.1,0.0,1,3,0,0,2,True,6121460781914695834
Amine Adli,21.0,ma MAR,LW,25-134,16,4,7,57.1,51,4,2,2,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1,True,6121460781914695834
Alex Scott,8.0,eng ENG,DM,22-031,62,38,47,80.9,640,77,21,23,91.3,13,15,86.7,4,8,50.0,0,0.0,0.0,0,2,0,0,3,True,6121460781914695834
Ryan Christie,10.0,sct SCO,DM,30-211,28,14,20,70.0,278,64,5,5,100.0,8,11,72.7,1,3,33.3,0,0.0,0.0,0,3,0,0,5,True,6121460781914695834
Tyler Adams,12.0,us USA,DM,26-219,90,50,63,79.4,822,173,25,33,75.8,23,24,95.8,2,3,66.7,0,0.0,0.0,0,5,0,0,4,True,6121460781914695834
Adrien Truffert,3.0,fr FRA,LB,23-305,90,55,63,87.3,791,205,31,31,100.0,21,25,84.0,1,3,33.3,0,0.0,0.0,0,5,0,0,7,True,6121460781914695834
Marcos Senesi,5.0,ar ARG,CB,28-134,90,73,95,76.8,1613,784,15,17,88.2,42,43,97.7,14,30,46.7,0,0.0,0.0,1,11,1,0,10,True,6121460781914695834
Bafodé Diakité,18.0,fr FRA,CB,24-258,90,63,66,95.5,1240,400,13,13,100.0,44,45,97.8,5,6,83.3,0,0.1,0.0,1,5,0,0,4,True,6121460781914695834
Álex Jiménez,20.0,es ESP,RB,20-136,45,25,30,83.3,374,80,9,10,90.0,12,13,92.3,1,2,50.0,0,0.0,0.0,0,0,0,0,1,True,6121460781914695834
James Hill,23.0,eng ENG,RB,23-254,45,11,18,61.1,186,46,5,6,83.3,6,10,60.0,0,2,0.0,0,0.0,0.0,0,0,1,0,1,True,6121460781914695834
Đorđe Petrović,1.0,rs SRB,GK,25-348,90,16,23,69.6,282,139,5,5,100.0,11,11,100.0,0,7,0.0,0,0.0,0.0,0,0,0,0,0,True,6121460781914695834
Nick Woltemade,27.0,de GER,FW,23-219,83,12,19,63.2,131,32,9,14,64.3,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,1,False,6121460781914695834
William Osula,18.0,dk DEN,FW,22-048,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,6121460781914695834
Joe Willock,28.0,eng ENG,AM,26-032,61,12,15,80.0,176,3,7,9,77.8,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,6121460781914695834
Harvey Barnes,11.0,eng ENG,AM,27-286,29,4,8,50.0,72,31,1,2,50.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,2,False,6121460781914695834
Jacob Murphy,23.0,eng ENG,AM,30-209,61,15,22,68.2,255,75,10,11,90.9,3,6,50.0,2,3,66.7,0,0.0,0.1,0,3,1,0,2,False,6121460781914695834
Anthony Elanga,20.0,se SWE,AM,23-147,29,6,9,66.7,81,9,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,1,False,6121460781914695834
Lewis Miley,67.0,eng ENG,CM,19-143,90,43,50,86.0,712,161,17,18,94.4,25,27,92.6,1,2,50.0,0,0.0,0.0,1,2,0,0,2,False,6121460781914695834
Sandro Tonali,8.0,it ITA,CM,25-136,90,50,59,84.7,877,271,26,29,89.7,17,20,85.0,6,8,75.0,0,0.2,0.2,2,9,2,1,12,False,6121460781914695834
Lewis Hall,3.0,eng ENG,WB,21-013,90,31,49,63.3,639,273,12,15,80.0,14,19,73.7,5,13,38.5,0,0.0,0.0,0,4,1,0,5,False,6121460781914695834
Valentino Livramento,21.0,eng ENG,WB,22-313,90,35,51,68.6,608,189,19,23,82.6,10,12,83.3,5,12,41.7,0,0.0,0.0,0,4,1,0,3,False,6121460781914695834
Dan Burn,33.0,eng ENG,CB,33-135,90,23,36,63.9,440,191,9,14,64.3,11,15,73.3,2,4,50.0,0,0.0,0.0,0,1,1,0,2,False,6121460781914695834
Sven Botman,4.0,nl NED,CB,25-252,90,42,53,79.2,824,370,13,16,81.3,26,29,89.7,3,8,37.5,0,0.0,0.0,0,0,0,0,2,False,6121460781914695834
Malick Thiaw,12.0,de GER,CB,24-044,83,26,32,81.3,527,198,7,9,77.8,17,18,94.4,1,3,33.3,0,0.0,0.0,0,2,1,0,4,False,6121460781914695834
Jamaal Lascelles,6.0,eng ENG,CB,31-314,7,2,2,100.0,36,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,6121460781914695834
Nick Pope,1.0,eng ENG,GK,33-155,90,16,35,45.7,516,357,2,2,100.0,7,7,100.0,7,25,28.0,0,0.0,0.0,0,0,0,0,0,False,6121460781914695834
Viktor Gyökeres,14.0,se SWE,FW,27-109,90,6,11,54.5,61,1,6,9,66.7,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,True,8950213928703014020
Leandro Trossard,19.0,be BEL,"LW,AM",30-291,83,29,40,72.5,644,123,11,15,73.3,13,17,76.5,5,7,71.4,0,0.0,0.1,0,2,1,0,3,True,8950213928703014020
Ethan Nwaneri,22.0,eng ENG,"DM,CM",18-184,7,5,7,71.4,95,22,2,2,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,True,8950213928703014020
Noni Madueke,20.0,eng ENG,RW,23-195,45,10,22,45.5,169,46,6,9,66.7,3,8,37.5,1,2,50.0,0,0.0,0.0,0,0,0,0,1,True,8950213928703014020
Bukayo Saka,7.0,eng ENG,"RW,LW,LM",24-016,45,24,29,82.8,450,106,12,12,100.0,9,12,75.0,3,5,60.0,0,0.1,0.2,2,0,2,0,2,True,8950213928703014020
Declan Rice,41.0,eng ENG,"LM,DM",26-250,90,89,101,88.1,1700,353,35,36,97.2,42,45,93.3,11,18,61.1,0,0.1,0.2,2,7,2,1,8,True,8950213928703014020
Martín Zubimendi,36.0,es ESP,"CM,CB",26-231,89,57,63,90.5,973,251,25,25,100.0,26,31,83.9,4,4,100.0,0,0.0,0.0,1,6,0,0,4,True,8950213928703014020
Cristhian Mosquera,3.0,es ESP,RB,21-086,1,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,8950213928703014020
Mikel Merino,23.0,es ESP,RM,29-091,45,18,20,90.0,258,102,10,10,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,1,3,1,0,3,True,8950213928703014020
Eberechi Eze,10.0,eng ENG,"RM,AM,DM,CM",27-084,45,20,23,87.0,377,80,5,5,100.0,14,15,93.3,1,2,50.0,1,0.2,0.2,1,1,1,0,5,True,8950213928703014020
Riccardo Calafiori,33.0,it ITA,LB,23-125,90,47,58,81.0,728,151,24,30,80.0,20,22,90.9,2,3,66.7,0,0.0,0.0,0,1,1,0,8,True,8950213928703014020
Gabriel Magalhães,6.0,br BRA,CB,27-276,90,59,64,92.2,1043,318,24,24,100.0,29,30,96.7,4,6,66.7,0,0.0,0.0,0,6,0,0,3,True,8950213928703014020
William Saliba,2.0,fr FRA,"CB,RB",24-181,90,96,101,95.0,1684,408,40,40,100.0,52,53,98.1,3,4,75.0,0,0.0,0.0,0,4,0,0,3,True,8950213928703014020
Jurriën Timber,12.0,nl NED,RB,24-096,79,52,63,82.5,828,214,21,23,91.3,31,34,91.2,0,3,0.0,0,0.0,0.1,1,5,2,0,7,True,8950213928703014020
Gabriel Martinelli,11.0,br BRA,"LW,RW,RM",24-095,11,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,8950213928703014020
David Raya,1.0,es ESP,GK,30-006,90,26,35,74.3,751,538,5,5,100.0,13,13,100.0,8,17,47.1,0,0.0,0.0,0,4,0,0,1,True,8950213928703014020
Erling Haaland,9.0,no NOR,FW,25-062,75,8,14,57.1,70,19,6,9,66.7,0,3,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,8950213928703014020
Nicolás González,14.0,es ESP,CM,23-261,15,6,7,85.7,100,28,2,3,66.7,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,False,8950213928703014020
Jeremy Doku,11.0,be BEL,"LM,FW",23-117,86,16,19,84.2,193,36,14,15,93.3,2,3,66.7,0,0,,0,0.2,0.2,2,2,0,0,1,False,8950213928703014020
Sávio,26.0,br BRA,FW,21-164,4,3,6,50.0,33,2,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,8950213928703014020
Tijjani Reijnders,4.0,nl NED,"CM,LM",27-054,90,20,27,74.1,257,53,14,16,87.5,6,9,66.7,0,2,0.0,1,0.6,0.0,2,1,1,0,1,False,8950213928703014020
Bernardo Silva,20.0,pt POR,"CM,RM",31-042,90,27,35,77.1,409,145,14,17,82.4,8,9,88.9,2,2,100.0,0,0.1,0.0,1,5,0,0,5,False,8950213928703014020
Phil Foden,47.0,eng ENG,RM,25-116,67,15,20,75.0,164,8,14,14,100.0,0,1,0.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,False,8950213928703014020
Nathan Aké,6.0,nl NED,"CB,LB",30-215,23,5,6,83.3,56,36,4,4,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,1,0,2,False,8950213928703014020
Rodri,16.0,es ESP,"DM,CM",29-091,90,37,42,88.1,596,138,18,21,85.7,11,11,100.0,4,4,100.0,0,0.0,0.0,0,2,0,0,2,False,8950213928703014020
Nico O’Reilly,33.0,eng ENG,LB,20-184,86,21,29,72.4,359,218,13,13,100.0,5,10,50.0,3,5,60.0,0,0.0,0.0,0,1,0,0,1,False,8950213928703014020
John Stones,5.0,eng ENG,CB,31-116,4,0,2,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,8950213928703014020
Joško Gvardiol,24.0,hr CRO,CB,23-241,90,24,33,72.7,467,228,9,12,75.0,12,15,80.0,2,3,66.7,0,0.0,0.0,0,2,0,0,3,False,8950213928703014020
Rúben Dias,3.0,pt POR,CB,28-130,90,22,27,81.5,426,126,8,9,88.9,13,15,86.7,1,3,33.3,0,0.0,0.0,0,3,0,0,2,False,8950213928703014020
Abdukodir Khusanov,45.0,uz UZB,RB,21-204,45,16,22,72.7,260,123,10,11,90.9,5,7,71.4,1,4,25.0,0,0.0,0.0,0,1,0,0,1,False,8950213928703014020
Matheus Nunes,27.0,pt POR,RB,27-025,45,9,14,64.3,189,57,4,4,100.0,4,5,80.0,1,4,25.0,0,0.0,0.0,0,1,0,0,1,False,8950213928703014020
Gianluigi Donnarumma,25.0,it ITA,GK,26-208,90,16,29,55.2,547,454,4,4,100.0,2,2,100.0,10,22,45.5,0,0.0,0.0,0,1,0,0,0,False,8950213928703014020
Thiago,9.0,br BRA,FW,24-093,89,9,13,69.2,90,22,9,12,75.0,0,1,0.0,0,0,,0,0.0,0.0,0,1,0,0,0,True,3257977323235650540
Mathias Jensen,8.0,dk DEN,FW,29-269,1,3,3,100.0,52,35,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,2,0,0,2,True,3257977323235650540
Kevin Schade,7.0,de GER,LW,23-304,90,13,21,61.9,222,47,7,11,63.6,5,8,62.5,1,1,100.0,0,0.4,0.1,1,1,0,0,1,True,3257977323235650540
Dango Ouattara,19.0,bf BFA,RW,23-228,74,8,19,42.1,71,35,6,9,66.7,0,2,0.0,0,2,0.0,0,0.2,0.3,1,0,0,0,1,True,3257977323235650540
Keane Lewis-Potter,23.0,eng ENG,RW,24-217,16,2,2,100.0,24,16,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,3257977323235650540
Mikkel Damsgaard,24.0,dk DEN,AM,25-086,80,25,38,65.8,453,234,14,21,66.7,6,7,85.7,4,8,50.0,0,0.0,0.2,0,4,1,0,6,True,3257977323235650540
Vitaly Janelt,27.0,de GER,AM,27-140,10,8,10,80.0,152,54,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,1,2,0,0,1,True,3257977323235650540
Yehor Yarmoliuk,18.0,ua UKR,DM,21-210,90,36,48,75.0,625,162,20,22,90.9,12,17,70.6,3,7,42.9,1,0.1,0.0,1,4,0,0,3,True,3257977323235650540
Jordan Henderson,6.0,eng ENG,DM,35-102,80,40,45,88.9,688,206,19,21,90.5,17,17,100.0,3,5,60.0,1,0.3,0.3,2,4,2,1,4,True,3257977323235650540
Frank Onyeka,15.0,ng NGA,DM,27-269,10,5,7,71.4,63,28,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1,True,3257977323235650540
Aaron Hickey,2.0,sct SCO,LB,23-109,74,33,35,94.3,589,223,16,16,100.0,10,11,90.9,6,7,85.7,0,0.0,0.0,0,4,1,0,3,True,3257977323235650540
Rico Henry,3.0,eng ENG,LB,28-081,16,3,3,100.0,44,18,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,True,3257977323235650540
Sepp van den Berg,4.0,nl NED,CB,23-281,90,33,35,94.3,565,147,12,13,92.3,20,21,95.2,1,1,100.0,0,0.0,0.0,0,1,0,0,2,True,3257977323235650540
Nathan Collins,22.0,ie IRL,CB,24-150,90,28,43,65.1,627,266,6,10,60.0,18,23,78.3,4,10,40.0,0,0.4,0.3,1,1,0,0,4,True,3257977323235650540
Michael Kayode,33.0,it ITA,RB,21-079,90,33,47,70.2,514,206,22,23,95.7,8,11,72.7,3,12,25.0,0,0.0,0.0,0,1,0,0,0,True,3257977323235650540
Caoimhín Kelleher,1.0,ie IRL,GK,26-308,90,20,32,62.5,746,534,0,0,,10,10,100.0,10,22,45.5,0,0.0,0.0,1,1,0,0,0,True,3257977323235650540
Benjamin Šeško,30.0,si SVN,FW,22-119,90,8,15,53.3,69,10,6,9,66.7,1,5,20.0,0,0,,0,0.0,0.0,1,0,1,0,1,False,3257977323235650540
Matheus Cunha,10.0,br BRA,AM,26-123,90,21,24,87.5,277,109,11,11,100.0,6,7,85.7,1,1,100.0,0,0.1,0.3,1,4,1,1,5,False,3257977323235650540
Bryan Mbeumo,19.0,cm CMR,"AM,WB",26-051,90,20,34,58.8,355,104,11,16,68.8,7,11,63.6,2,4,50.0,0,0.1,0.1,3,1,0,0,2,False,3257977323235650540
Bruno Fernandes,8.0,pt POR,CM,31-019,90,54,71,76.1,927,256,31,35,88.6,16,22,72.7,6,12,50.0,0,0.0,0.0,1,8,0,0,6,False,3257977323235650540
Manuel Ugarte,25.0,uy URU,CM,24-169,65,28,33,84.8,406,113,17,18,94.4,9,10,90.0,2,3,66.7,0,0.0,0.0,0,2,0,0,4,False,3257977323235650540
Leny Yoro,15.0,fr FRA,CB,19-318,25,19,21,90.5,345,108,7,8,87.5,11,12,91.7,1,1,100.0,0,0.0,0.0,0,1,0,0,4,False,3257977323235650540
Patrick Dorgu,13.0,dk DEN,WB,20-336,84,22,30,73.3,259,65,16,20,80.0,5,8,62.5,0,0,,0,0.0,0.0,0,0,0,0,0,False,3257977323235650540
Joshua Zirkzee,11.0,nl NED,AM,24-128,6,2,2,100.0,26,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,3257977323235650540
Diogo Dalot,2.0,pt POR,"WB,CB",26-193,90,42,56,75.0,781,214,19,19,100.0,18,26,69.2,5,10,50.0,0,0.2,0.1,3,2,1,1,2,False,3257977323235650540
Luke Shaw,23.0,eng ENG,CB,30-077,80,50,64,78.1,810,357,27,32,84.4,17,21,81.0,3,6,50.0,0,0.0,0.0,0,2,0,0,2,False,3257977323235650540
Mason Mount,7.0,eng ENG,"WB,AM",26-260,10,4,7,57.1,113,39,2,3,66.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,2,False,3257977323235650540
Harry Maguire,5.0,eng ENG,CB,32-206,65,25,31,80.6,472,151,6,7,85.7,16,20,80.0,2,2,100.0,0,0.0,0.0,0,0,0,0,2,False,3257977323235650540
Kobbie Mainoo,37.0,eng ENG,CM,20-161,25,20,24,83.3,345,66,9,10,90.0,9,10,90.0,1,2,50.0,0,0.0,0.0,0,3,0,0,1,False,3257977323235650540
Matthijs de Ligt,4.0,nl NED,CB,26-046,90,52,56,92.9,789,266,23,25,92.0,27,28,96.4,0,0,,0,0.0,0.0,0,0,0,0,2,False,3257977323235650540
Altay Bayındır,1.0,tr TUR,GK,27-166,90,19,26,73.1,543,414,5,5,100.0,7,7,100.0,7,14,50.0,0,0.0,0.0,0,3,0,0,0,False,3257977323235650540
Dominic Calvert-Lewin,9.0,eng ENG,FW,28-195,89,12,20,60.0,154,43,6,8,75.0,5,8,62.5,0,1,0.0,0,0.0,0.0,1,2,0,0,2,True,5668032796572861548
Lukas Nmecha,14.0,de GER,FW,26-287,1,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,5668032796572861548
Noah Okafor,19.0,ch SUI,LW,25-126,66,11,13,84.6,189,100,7,7,100.0,3,4,75.0,1,2,50.0,0,0.2,0.3,1,1,2,1,3,True,5668032796572861548
Jack Harrison,20.0,eng ENG,LW,28-311,24,4,6,66.7,74,4,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,True,5668032796572861548
Brenden Aaronson,11.0,us USA,RW,24-340,86,14,19,73.7,189,66,7,9,77.8,5,6,83.3,0,0,,0,0.1,0.0,1,2,1,0,4,True,5668032796572861548
Ao Tanaka,22.0,jp JPN,RW,27-017,4,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,5668032796572861548
Anton Stach,18.0,de GER,"LM,CM",26-316,90,25,33,75.8,226,43,19,23,82.6,2,3,66.7,0,0,,0,0.0,0.0,1,2,0,0,1,True,5668032796572861548
Ethan Ampadu,4.0,wls WAL,CM,25-013,90,48,59,81.4,961,329,18,19,94.7,21,27,77.8,7,10,70.0,0,0.0,0.0,0,4,0,0,3,True,5668032796572861548
Sean Longstaff,8.0,eng ENG,"RM,CM",27-332,90,43,50,86.0,946,314,18,20,90.0,10,13,76.9,13,15,86.7,1,1.0,0.2,7,4,0,0,3,True,5668032796572861548
Gabriel Gudmundsson,3.0,se SWE,LB,26-151,90,26,37,70.3,352,211,16,17,94.1,7,8,87.5,1,6,16.7,0,0.0,0.0,0,3,0,0,4,True,5668032796572861548
Pascal Struijk,5.0,nl NED,CB,26-047,90,43,50,86.0,803,425,21,21,100.0,14,17,82.4,7,11,63.6,0,0.0,0.0,1,3,0,0,0,True,5668032796572861548
Joe Rodon,6.0,wls WAL,CB,27-340,90,18,22,81.8,277,125,9,10,90.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0,0,0,0,3,True,5668032796572861548
Jayden Bogle,2.0,eng ENG,RB,25-062,90,22,28,78.6,366,187,15,18,83.3,2,3,66.7,4,5,80.0,0,0.1,0.0,1,3,1,1,2,True,5668032796572861548
Karl Darlow,26.0,wls WAL,GK,34-354,90,36,55,65.5,1129,896,7,7,100.0,13,13,100.0,16,35,45.7,0,0.0,0.0,0,0,0,0,0,True,5668032796572861548
Evanilson,9.0,br BRA,FW,25-356,90,12,12,100.0,140,39,8,8,100.0,2,2,100.0,1,1,100.0,0,0.1,0.1,1,0,1,0,1,False,5668032796572861548
Antoine Semenyo,24.0,gh GHA,"LW,RW,AM",25-263,90,20,28,71.4,248,69,15,17,88.2,4,5,80.0,1,5,20.0,0,0.0,0.1,1,1,1,0,1,False,5668032796572861548
Amine Adli,21.0,ma MAR,RW,25-140,59,20,28,71.4,259,49,14,16,87.5,5,7,71.4,1,1,100.0,0,0.1,0.1,2,0,0,0,1,False,5668032796572861548
David Brooks,7.0,wls WAL,"RW,DM",28-081,31,24,29,82.8,435,116,11,11,100.0,10,12,83.3,3,4,75.0,0,0.0,0.1,0,3,1,0,3,False,5668032796572861548
Justin Kluivert,19.0,nl NED,AM,26-145,59,16,22,72.7,226,33,8,10,80.0,8,9,88.9,0,2,0.0,0,0.1,0.0,1,0,1,0,1,False,5668032796572861548
Marcus Tavernier,16.0,eng ENG,"RB,AM,DM",26-189,31,16,21,76.2,255,40,8,10,80.0,8,8,100.0,0,3,0.0,0,0.0,0.0,1,2,0,0,1,False,5668032796572861548
Ryan Christie,10.0,sct SCO,DM,30-217,59,23,29,79.3,342,58,16,17,94.1,6,8,75.0,1,3,33.3,0,0.0,0.0,0,2,0,0,2,False,5668032796572861548
Alex Scott,8.0,eng ENG,DM,22-037,31,17,23,73.9,297,61,7,8,87.5,8,10,80.0,2,4,50.0,0,0.0,0.0,0,2,1,1,1,False,5668032796572861548
Tyler Adams,12.0,us USA,"DM,CB",26-225,80,50,54,92.6,812,252,21,22,95.5,25,26,96.2,2,4,50.0,0,0.0,0.0,0,4,0,0,5,False,5668032796572861548
Eli Junior Kroupi,22.0,fr FRA,AM,19-096,10,3,6,50.0,52,0,2,4,50.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,False,5668032796572861548
Adrien Truffert,3.0,fr FRA,LB,23-311,90,58,69,84.1,834,171,36,38,94.7,20,23,87.0,1,5,20.0,0,0.0,0.0,0,3,0,0,5,False,5668032796572861548
Marcos Senesi,5.0,ar ARG,CB,28-140,90,79,94,84.0,1865,634,18,20,90.0,36,41,87.8,25,32,78.1,1,0.1,0.2,1,12,2,1,8,False,5668032796572861548
Bafodé Diakité,18.0,fr FRA,"CB,RB",24-264,90,62,66,93.9,1277,489,17,19,89.5,38,39,97.4,6,7,85.7,0,0.0,0.0,0,8,0,0,6,False,5668032796572861548
Álex Jiménez,20.0,es ESP,RB,20-142,72,40,50,80.0,546,167,27,30,90.0,11,14,78.6,1,3,33.3,0,0.1,0.0,1,2,0,0,6,False,5668032796572861548
Ben Gannon-Doak,11.0,sct SCO,LW,19-320,18,7,7,100.0,84,5,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,5668032796572861548
Đorđe Petrović,1.0,rs SRB,GK,25-354,90,22,29,75.9,597,375,4,4,100.0,10,10,100.0,8,14,57.1,0,0.0,0.0,0,1,0,0,0,False,5668032796572861548
Jean-Philippe Mateta,14.0,fr FRA,FW,28-091,90,10,15,66.7,181,46,4,4,100.0,5,6,83.3,1,1,100.0,0,0.1,0.1,1,0,1,1,1,True,4876960616092929415
Yeremi Pino,10.0,es ESP,AM,22-342,73,13,20,65.0,253,124,4,6,66.7,8,10,80.0,1,2,50.0,0,0.1,0.1,1,1,3,0,5,True,4876960616092929415
Jefferson Lerma,8.0,co COL,"AM,CM",30-337,17,10,12,83.3,167,78,5,5,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2,True,4876960616092929415
Ismaila Sarr,7.0,sn SEN,AM,27-214,74,13,16,81.3,204,48,7,9,77.8,6,6,100.0,0,0,,0,0.2,0.1,1,2,2,0,4,True,4876960616092929415
Eddie Nketiah,9.0,eng ENG,AM,26-120,16,1,2,50.0,35,0,0,0,,0,1,0.0,1,1,100.0,0,0.1,0.0,1,0,0,0,0,True,4876960616092929415
Daichi Kamada,18.0,jp JPN,CM,29-053,89,21,32,65.6,442,183,11,14,78.6,4,7,57.1,5,9,55.6,0,0.0,0.0,1,3,0,0,3,True,4876960616092929415
Justin Devenny,55.0,nir NIR,AM,21-351,1,1,3,33.3,23,7,0,0,,1,1,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,True,4876960616092929415
Adam Wharton,20.0,eng ENG,CM,21-233,61,15,23,65.2,249,151,5,7,71.4,8,8,100.0,1,5,20.0,0,0.9,0.4,4,1,1,0,5,True,4876960616092929415
Will Hughes,19.0,eng ENG,CM,30-163,29,5,6,83.3,128,29,2,3,66.7,1,1,100.0,2,2,100.0,0,0.0,0.1,0,0,0,0,1,True,4876960616092929415
Tyrick Mitchell,3.0,eng ENG,WB,26-026,90,20,36,55.6,341,132,9,12,75.0,10,15,66.7,1,4,25.0,0,0.2,0.1,1,3,1,1,2,True,4876960616092929415
Daniel Muñoz,2.0,co COL,WB,29-124,90,18,25,72.0,306,114,9,11,81.8,7,8,87.5,2,4,50.0,0,0.1,0.0,1,1,0,0,1,True,4876960616092929415
Marc Guéhi,6.0,eng ENG,CB,25-076,90,19,21,90.5,220,57,13,15,86.7,5,5,100.0,0,0,,1,0.4,0.0,1,2,0,0,1,True,4876960616092929415
Maxence Lacroix,5.0,fr FRA,CB,25-174,90,17,27,63.0,436,245,4,5,80.0,8,9,88.9,5,12,41.7,0,0.0,0.0,0,3,1,0,1,True,4876960616092929415
Chris Richards,26.0,us USA,CB,25-183,90,18,24,75.0,391,141,3,5,60.0,13,14,92.9,2,5,40.0,0,0.0,0.0,0,1,0,0,1,True,4876960616092929415
