player_code,fbref_name,position,fpl_cost,fpl_form,season_ppg,total_points
465247,Senne Lammens,GK,5.1,2.0,2.7,24
232653,Jacob Ramsey,MID,5.3,0.8,1.0,7
216646,Yoane Wissa,FWD,7.3,0.2,1.0,1
98747,Nick Pope,GK,5.1,1.2,4.6,55
487838,Lewis Hall,DEF,5.2,2.2,2.5,20
119471,Fabian Schär,DEF,5.3,1.6,3.3,33
220237,Sven Botman,DEF,4.9,0.8,3.2,32
78916,Dan Burn,DEF,5.1,3.6,4.7,66
441191,Valentino Livramento,DEF,4.9,1.6,4.5,45
77794,Kieran Trippier,DEF,4.9,0.0,3.3,30
101148,Jamaal Lascelles,DEF,4.3,0.0,0.5,1
232826,Anthony Gordon,MID,7.2,3.4,2.9,29
449434,Anthony Elanga,MID,6.6,2.0,1.7,25
201666,Harvey Barnes,MID,6.4,5.8,3.1,44
208706,Bruno Guimarães,MID,6.9,7.0,5.8,81
114243,Jacob Murphy,MID,6.1,1.4,3.4,41
180974,Joelinton,MID,5.9,2.2,2.4,31
432422,Sandro Tonali,MID,5.3,2.2,2.6,39
200089,Joe Willock,MID,5.0,1.2,1.7,10
547719,Lewis Miley,MID,4.4,3.8,2.9,32
538207,William Osula,FWD,5.4,0.0,1.8,18
225321,Aaron Ramsdale,GK,4.8,1.0,1.2,5
465642,Malick Thiaw,DEF,5.0,5.2,4.1,49
470313,Nick Woltemade,FWD,7.5,4.2,4.7,56
206325,Oleksandr Zinchenko,DEF,4.9,0.0,1.7,5
432714,James Mcatee,MID,5.1,0.2,1.0,5
85633,Matz Sels,GK,4.7,3.8,2.7,40
227444,Nikola Milenković,DEF,5.2,3.8,2.3,34
575476,Murillo,DEF,5.3,3.6,3.3,30
159506,Ola Aina,DEF,4.7,0.0,2.0,6
215136,Neco Williams,DEF,4.7,5.0,2.9,43
575458,Jair Cunha,DEF,4.3,0.0,3.0,3
485047,Morato,DEF,4.3,2.6,2.2,20
549067,Zach Abbott,DEF,3.9,0.2,1.0,1
222531,Morgan Gibbs-White,MID,7.3,5.0,3.7,55
209046,Callum Hudson-Odoi,MID,5.7,0.8,1.9,26
215379,Elliot Anderson,MID,5.4,6.0,4.1,62
510500,Jota Silva,MID,5.4,0.0,1.0,1
250199,Nicolás Domínguez,MID,5.0,1.4,1.1,8
210462,Ibrahim Sangaré,MID,4.9,3.2,2.4,29
204968,Ryan Yates,MID,4.7,1.0,1.4,15
60689,Chris Wood,FWD,7.2,0.0,3.1,25
482973,Igor Jesus,FWD,5.8,3.2,2.1,29
210156,Taiwo Awoniyi,FWD,5.2,0.2,1.0,4
456512,Dan Ndoye,MID,5.5,2.6,2.9,40
503301,Omari Hutchinson,MID,5.4,4.2,2.6,26
465680,Arnaud Kalimuendo,FWD,6.0,0.2,1.0,7
230046,Douglas Luiz,MID,4.9,0.0,1.8,7
500151,Nicolò Savona,DEF,4.5,4.0,3.0,30
476887,Dilane Bakwa,MID,5.9,0.0,1.2,5
223827,Daniel Ballard,DEF,4.6,2.2,4.5,58
487676,Trai Hume,DEF,4.5,1.0,3.0,45
434399,Reinildo Mandava,DEF,4.0,2.2,2.5,27
519634,Jenson Seelt,DEF,4.0,0.0,1.0,2
535818,Simon Adingra,MID,5.0,0.5,1.8,16
547027,Habib Diarra,MID,5.3,0.0,3.0,12
124165,Patrick Roberts,MID,5.4,0.0,1.0,1
484420,Enzo Le Fée,MID,4.9,5.5,4.0,56
461199,Romaine Mundle,MID,4.9,0.2,0.5,1
223336,Dan Neil,MID,4.8,0.0,1.0,2
554197,Chris Rigg,MID,4.8,0.0,1.3,8
577669,Noah Sadiki,MID,5.0,2.0,2.3,34
549912,Chemsdine Talbi,MID,5.0,3.5,3.2,48
437505,Wilson Isidor,FWD,5.5,1.5,3.1,47
564406,Eliezer Mayenda,FWD,5.3,0.2,2.1,17
84450,Granit Xhaka,MID,5.2,3.2,4.3,65
498016,Robin Roefs,GK,4.7,2.0,4.3,64
105717,Arthur Masuaku,DEF,3.9,0.0,0.3,1
201895,Omar Alderete,DEF,4.0,1.2,4.5,50
200834,Nordi Mukiele,DEF,4.2,1.2,4.3,56
247955,Lutsharel Geertruida,DEF,4.5,1.2,1.2,15
441264,Brian Brobbey,FWD,5.5,2.5,2.3,23
110504,Bertrand Traoré,MID,5.5,3.0,2.8,25
184254,Guglielmo Vicario,GK,4.9,2.5,3.8,57
441164,Pedro Porro,DEF,5.3,1.8,3.5,53
221632,Cristian Romero,DEF,5.0,6.0,4.8,58
135720,Kevin Danso,DEF,4.3,1.8,1.7,19
232859,Djed Spence,DEF,4.4,1.5,3.1,37
487053,Destiny Udogie,DEF,4.4,0.2,1.3,13
491279,Micky van de Ven,DEF,4.7,1.5,4.6,64
242898,Brennan Johnson,MID,6.6,0.8,2.4,31
460842,Mohammed Kudus,MID,6.5,5.0,4.6,65
511499,Mathys Tel,MID,6.2,1.2,2.8,28
202993,Rodrigo Bentancur,MID,5.3,2.5,3.2,45
570526,Lucas Bergvall,MID,5.4,1.8,2.8,31
550839,Wilson Odobert,MID,5.3,1.2,1.7,24
547701,Archie Gray,MID,4.8,1.0,1.6,8
482442,Pape Matar Sarr,MID,4.7,1.2,3.0,42
154566,Dominic Solanke,FWD,7.2,0.0,1.0,2
212319,Richarlison,FWD,6.4,3.8,3.9,59
154296,João Palhinha,MID,5.5,2.5,4.4,61
493362,Xavi Simons,MID,6.5,4.2,3.1,37
247693,Randal Kolo Muani,FWD,6.9,1.5,1.5,12
223434,Igor,DEF,4.5,0.8,1.5,6
84182,Alphonse Areola,GK,4.3,4.2,2.9,32
613804,El Hadji Malick Diouf,DEF,4.2,3.2,2.9,44
214048,Max Kilman,DEF,4.2,2.0,2.0,28
233963,Konstantinos Mavropanos,DEF,4.4,2.8,3.1,28
210494,Nayef Aguerd,DEF,4.4,0.0,1.5,3
536109,Oliver Scarles,DEF,4.3,0.0,0.5,1
462116,Jean-Clair Todibo,DEF,4.3,3.0,1.9,19
214590,Aaron Wan-Bissaka,DEF,4.2,2.5,2.2,24
224024,Lucas Paquetá,MID,5.9,0.5,3.6,47
215439,Tomáš Souček,MID,5.7,1.2,2.6,31
101178,James Ward-Prowse,MID,5.6,0.0,2.2,11
450070,Crysencio Summerville,MID,5.5,0.8,2.6,26
197024,Guido Rodríguez,MID,4.8,0.5,1.7,5
577114,Luis Guilherme,MID,4.9,0.5,1.0,5
229384,Andy Irving,MID,4.4,0.2,1.3,9
490142,Freddie Potts,MID,4.4,1.5,1.6,16
178186,Jarrod Bowen,FWD,7.5,5.0,4.4,66
91889,Niclas Füllkrug,FWD,5.6,0.5,1.5,12
565431,Callum Marshall,FWD,4.3,0.0,1.0,2
158534,Kyle Walker-Peters,DEF,4.3,0.0,1.9,21
75115,Callum Wilson,FWD,5.8,5.0,3.5,42
467189,Mads Hermansen,GK,4.3,0.0,2.2,9
551226,Mateus Fernandes,MID,5.5,3.8,3.3,43
564940,Soungoutou Magassa,MID,5.0,3.2,2.1,19
602903,Ezra Mayers,DEF,4.0,0.2,1.0,1
630699,Mohamadou Kanté,MID,4.5,0.5,1.0,1
101982,Sam Johnstone,GK,4.5,1.8,2.0,22
149065,José Sá,GK,4.3,0.0,1.2,5
516939,Emmanuel Agbadou,DEF,4.3,2.2,1.7,20
87835,Matt Doherty,DEF,4.4,0.0,0.5,2
490721,Hugo Bueno,DEF,4.4,0.8,1.7,24
501837,Yerson Mosquera,DEF,4.3,0.2,0.3,2
483081,Rodrigo Gomes,DEF,4.4,0.0,2.2,13
231480,Santiago Bueno,DEF,4.4,0.0,3.1,25
510362,Toti Gomes,DEF,4.3,2.5,1.3,16
441271,Ki-Jana Hoever,DEF,3.9,0.2,0.9,6
184754,Hwang Hee-chan,MID,5.7,0.5,1.8,18
509291,André,MID,5.3,2.8,2.4,36
231057,Jean-Ricner Bellegarde,MID,5.2,3.0,1.8,25
643135,Fer López,MID,5.2,0.2,1.3,8
448089,João Gomes,MID,5.3,2.0,2.3,32
433312,Marshall Munetsi,MID,5.4,0.8,2.9,38
497606,Tawanda Chirewa,MID,4.3,0.2,1.0,1
247412,Jørgen Strand Larsen,FWD,6.2,1.8,2.2,28
429414,Sasa Kalajdzic,FWD,4.9,0.0,1.0,1
230376,Jhon Arias,MID,5.0,1.5,1.8,25
497949,David Møller Wolfe,DEF,4.3,1.8,1.7,15
523705,Jackson Tchatchoua,DEF,4.5,1.5,1.4,20
431248,Ladislav Krejčí,DEF,4.5,0.5,1.9,19
488213,Tolu Arokodare,FWD,5.4,1.0,1.2,13
647671,Mateus Mane,FWD,4.5,0.8,1.0,4
