player_code,fbref_name,fpl_name
611922,Rio Ngumoha,Rio Ngumoha
432720,James Trafford,James Trafford
448514,Rayan Aït-Nouri,Rayan Aït-Nouri
477424,Joško Gvardiol,Joško Gvardiol
126184,Nathan Aké,Nathan Aké
578153,Abdukodir Khusanov,Abdukodir Khusanov
465351,Matheus Nunes,Matheus Nunes
171314,Rúben Dias,Rúben dos Santos Gato Alves Dias
97299,John Stones,John Stones
477064,Rico Lewis,Rico Lewis
472769,Nico O’Reilly,Nico O'Reilly
438234,Omar Marmoush,Omar Marmoush
209244,Phil Foden,Phil Foden
510281,Sávio,Sávio Moreira de Oliveira
165809,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva
466052,Rayan Cherki,Rayan Cherki
248875,Jeremy Doku,Jérémy Doku
220566,Rodri,Rodrigo 'Rodri' Hernandez Cascante
91651,Mateo Kovačić,Mateo Kovačić
465694,Nicolás González,Nico González Iglesias
477555,Oscar Bobb,Oscar Bobb
433036,Tijjani Reijnders,Tijjani Reijnders
223094,Erling Haaland,Erling Haaland
204936,Gianluigi Donnarumma,Gianluigi Donnarumma
446008,Bryan Mbeumo,Bryan Mbeumo
451302,Altay Bayındır,Altay Bayındır
209365,Matthijs de Ligt,Matthijs de Ligt
230001,Noussair Mazraoui,Noussair Mazraoui
216051,Diogo Dalot,Diogo Dalot Teixeira
596777,Patrick Dorgu,Patrick Dorgu
95658,Harry Maguire,Harry Maguire
106760,Luke Shaw,Luke Shaw
550864,Leny Yoro,Leny Yoro
606745,Ayden Heaven,Ayden Heaven
141746,Bruno Fernandes,Bruno Borges Fernandes
430871,Matheus Cunha,Matheus Santos Carneiro da Cunha
493250,Amad Diallo,Amad Diallo
184341,Mason Mount,Mason Mount
61256,Casimiro,Carlos Henrique Casimiro
516895,Kobbie Mainoo,Kobbie Mainoo
232112,Manuel Ugarte,Manuel Ugarte Ribeiro
458249,Joshua Zirkzee,Joshua Zirkzee
485711,Benjamin Šeško,Benjamin Sesko
465247,Senne Lammens,Senne Lammens
232653,Jacob Ramsey,Jacob Ramsey
98747,Nick Pope,Nick Pope
487838,Lewis Hall,Lewis Hall
119471,Fabian Schär,Fabian Schär
220237,Sven Botman,Sven Botman
78916,Dan Burn,Dan Burn
441191,Valentino Livramento,Tino Livramento
77794,Kieran Trippier,Kieran Trippier
101148,Jamaal Lascelles,Jamaal Lascelles
232826,Anthony Gordon,Anthony Gordon
449434,Anthony Elanga,Anthony Elanga
201666,Harvey Barnes,Harvey Barnes
208706,Bruno Guimarães,Bruno Guimarães Rodriguez Moura
114243,Jacob Murphy,Jacob Murphy
180974,Joelinton,Joelinton Cássio Apolinário de Lira
432422,Sandro Tonali,Sandro Tonali
200089,Joe Willock,Joe Willock
547719,Lewis Miley,Lewis Miley
538207,William Osula,William Osula
465642,Malick Thiaw,Malick Thiaw
470313,Nick Woltemade,Nick Woltemade
206325,Oleksandr Zinchenko,Oleksandr Zinchenko
432714,James Mcatee,James McAtee
85633,Matz Sels,Matz Sels
227444,Nikola Milenković,Nikola Milenković
575476,Murillo,Murillo Costa dos Santos
159506,Ola Aina,Ola Aina
215136,Neco Williams,Neco Williams
575458,Jair Cunha,Jair Paula da Cunha Filho
485047,Morato,Felipe Rodrigues da Silva
222531,Morgan Gibbs-White,Morgan Gibbs-White
209046,Callum Hudson-Odoi,Callum Hudson-Odoi
215379,Elliot Anderson,Elliot Anderson
510500,Jota Silva,João Pedro Ferreira da Silva
250199,Nicolás Domínguez,Nicolás Domínguez
210462,Ibrahim Sangaré,Ibrahim Sangaré
204968,Ryan Yates,Ryan Yates
60689,Chris Wood,Chris Wood
482973,Igor Jesus,Igor Jesus Maciel da Cruz
210156,Taiwo Awoniyi,Taiwo Awoniyi
456512,Dan Ndoye,Dan Ndoye
503301,Omari Hutchinson,Omari Hutchinson
465680,Arnaud Kalimuendo,Arnaud Kalimuendo
230046,Douglas Luiz,Douglas Luiz Soares de Paulo
500151,Nicolò Savona,Nicolò Savona
476887,Dilane Bakwa,Dilane Bakwa
223827,Daniel Ballard,Daniel Ballard
487676,Trai Hume,Trai Hume
434399,Reinildo Mandava,Reinildo Mandava
519634,Jenson Seelt,Jenson Seelt
535818,Simon Adingra,Simon Adingra
547027,Habib Diarra,Habib Diarra
124165,Patrick Roberts,Patrick Roberts
484420,Enzo Le Fée,Enzo Le Fée
223336,Dan Neil,Dan Neil
554197,Chris Rigg,Chris Rigg
577669,Noah Sadiki,Noah Sadiki
549912,Chemsdine Talbi,Chemsdine Talbi
437505,Wilson Isidor,Wilson Isidor
564406,Eliezer Mayenda,Eliezer Mayenda Dossou
84450,Granit Xhaka,Granit Xhaka
498016,Robin Roefs,Robin Roefs
105717,Arthur Masuaku,Arthur Masuaku
201895,Omar Alderete,Omar Alderete
200834,Nordi Mukiele,Nordi Mukiele
247955,Lutsharel Geertruida,Lutsharel Geertruida
441264,Brian Brobbey,Brian Brobbey
110504,Bertrand Traoré,Bertrand Traoré
184254,Guglielmo Vicario,Guglielmo Vicario
441164,Pedro Porro,Pedro Porro Sauceda
221632,Cristian Romero,Cristian Romero
135720,Kevin Danso,Kevin Danso
232859,Djed Spence,Djed Spence
487053,Destiny Udogie,Destiny Udogie
491279,Micky van de Ven,Micky van de Ven
242898,Brennan Johnson,Brennan Johnson
460842,Mohammed Kudus,Mohammed Kudus
511499,Mathys Tel,Mathys Tel
202993,Rodrigo Bentancur,Rodrigo Bentancur
570526,Lucas Bergvall,Lucas Bergvall
550839,Wilson Odobert,Wilson Odobert
547701,Archie Gray,Archie Gray
482442,Pape Matar Sarr,Pape Matar Sarr
154566,Dominic Solanke,Dominic Solanke-Mitchell
212319,Richarlison,Richarlison de Andrade
154296,João Palhinha,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves
493362,Xavi Simons,Xavi Simons
247693,Randal Kolo Muani,Randal Kolo Muani
223434,Igor,Igor Julio dos Santos de Paulo
84182,Alphonse Areola,Alphonse Areola
613804,El Hadji Malick Diouf,El Hadji Malick Diouf
214048,Max Kilman,Maximilian Kilman
