name_match,player_code,position,first_name,last_name,fpl_cost,fpl_form,season_ppg,total_points
Sean Longstaff,180135,MID,Sean,Longstaff,4.9,2.8,3.7,37
Anton Stach,466525,MID,Anton,Stach,5.0,1.2,4.0,36
Lucas Perri,201595,GK,Lucas Estella,Perri,4.5,0.8,3.0,15
Dominic Calvert-Lewin,177815,FWD,Dominic,Calvert-Lewin,5.5,2.0,3.0,24
Noah Okafor,435997,MID,Noah,Okafor,5.5,3.5,3.9,27
James Justin,220627,DEF,James,Justin,4.0,0.5,0.8,4
Alisson,116535,GK,Alisson,Becker,5.4,0.0,3.3,20
Giorgi Mamardashvili,449027,GK,Giorgi,Mamardashvili,4.3,3.0,3.0,12
Jeremie Frimpong,216094,DEF,Jeremie,Frimpong,5.8,0.2,1.8,7
Milos Kerkez,544877,DEF,Milos,Kerkez,5.7,2.0,2.2,20
Andrew Robertson,122798,DEF,Andrew,Robertson,5.8,2.5,2.2,11
Virgil van Dijk,97032,DEF,Virgil,van Dijk,6.0,3.0,4.0,40
Ibrahima Konaté,204716,DEF,Ibrahima,Konaté,5.4,3.8,3.8,38
Conor Bradley,492777,DEF,Conor,Bradley,5.0,3.0,1.9,15
Joe Gomez,171287,DEF,Joe,Gomez,4.9,0.2,1.0,3
Mohamed Salah,118748,MID,Mohamed,Salah,14.2,5.0,5.2,52
Florian Wirtz,494595,MID,Florian,Wirtz,8.0,1.2,1.7,17
Cody Gakpo,243298,MID,Cody,Gakpo,7.6,4.8,4.5,45
Federico Chiesa,223541,MID,Federico,Chiesa,6.4,1.2,2.7,19
Alexis Mac Allister,243016,MID,Alexis,Mac Allister,6.3,2.8,2.7,24
Dominik Szoboszlai,424876,MID,Dominik,Szoboszlai,6.5,4.2,4.3,43
Curtis Jones,206915,MID,Curtis,Jones,5.4,1.0,1.6,13
Ryan Gravenberch,441266,MID,Ryan,Gravenberch,5.6,3.8,6.2,50
Wataru Endo,158983,MID,Endo,Wataru,4.9,0.2,1.5,6
Alexander Isak,219168,FWD,Alexander,Isak,10.4,1.8,2.5,10
Hugo Ekitike,510663,FWD,Hugo,Ekitiké,8.6,1.5,4.2,38
Rio Ngumoha,611922,MID,Rio,Ngumoha,4.5,0.2,2.2,9
James Trafford,432720,GK,James,Trafford,4.7,0.0,3.7,11
Rayan Aït-Nouri,448514,DEF,Rayan,Aït-Nouri,5.8,0.2,2.8,11
Joško Gvardiol,477424,DEF,Joško,Gvardiol,5.9,4.0,4.7,28
Nathan Aké,126184,DEF,Nathan,Aké,5.3,1.5,2.0,10
Abdukodir Khusanov,578153,DEF,Abdukodir,Khusanov,5.4,0.0,2.8,11
Matheus Nunes,465351,DEF,Matheus,Nunes,5.3,4.0,4.0,32
Rúben Dias,171314,DEF,Rúben,dos Santos Gato Alves Dias,5.5,5.2,3.9,39
John Stones,97299,DEF,John,Stones,5.5,0.5,2.2,11
Rico Lewis,477064,DEF,Rico,Lewis,4.9,0.2,3.0,15
Nico O’Reilly,472769,DEF,Nico,O'Reilly,4.9,6.2,4.4,40
Omar Marmoush,438234,MID,Omar,Marmoush,8.3,0.5,2.2,11
Phil Foden,209244,MID,Phil,Foden,8.0,2.8,3.5,28
Sávio,510281,MID,Sávio,Moreira de Oliveira,6.9,2.8,2.1,15
Bernardo Silva,165809,MID,Bernardo,Mota Veiga de Carvalho e Silva,6.3,1.5,2.0,20
Rayan Cherki,466052,MID,Rayan,Cherki,6.3,3.0,3.8,19
Jeremy Doku,248875,MID,Jérémy,Doku,6.5,1.2,3.3,33
Rodri,220566,MID,Rodrigo 'Rodri',Hernandez Cascante,6.3,0.5,2.0,12
Mateo Kovačić,91651,MID,Mateo,Kovačić,5.9,0.2,1.0,1
Nicolás González,465694,MID,Nico,González Iglesias,5.9,3.0,2.2,20
Oscar Bobb,477555,MID,Oscar,Bobb,5.4,1.5,2.2,18
Tijjani Reijnders,433036,MID,Tijjani,Reijnders,5.5,1.5,3.4,34
Erling Haaland,223094,FWD,Erling,Haaland,14.8,9.0,9.8,98
Gianluigi Donnarumma,204936,GK,Gianluigi,Donnarumma,5.7,4.0,3.6,25
Bryan Mbeumo,446008,MID,Bryan,Mbeumo,8.3,8.0,5.3,53
Altay Bayındır,451302,GK,Altay,Bayındır,4.8,0.0,1.8,11
Matthijs de Ligt,209365,DEF,Matthijs,de Ligt,5.0,3.0,3.0,30
Noussair Mazraoui,230001,DEF,Noussair,Mazraoui,4.9,0.0,2.2,9
Diogo Dalot,216051,DEF,Diogo,Dalot Teixeira,4.4,3.8,2.8,22
Patrick Dorgu,596777,DEF,Patrick,Dorgu,4.3,0.5,1.2,11
Harry Maguire,95658,DEF,Harry,Maguire,4.4,3.0,3.9,27
Luke Shaw,106760,DEF,Luke,Shaw,4.5,4.5,2.7,27
Leny Yoro,550864,DEF,Leny,Yoro,4.4,2.2,2.3,23
Ayden Heaven,606745,DEF,Ayden,Heaven,3.8,0.8,2.0,4
Bruno Fernandes,141746,MID,Bruno,Borges Fernandes,8.9,5.0,4.5,45
Matheus Cunha,430871,MID,Matheus,Santos Carneiro da Cunha,7.9,3.8,2.6,23
Amad Diallo,493250,MID,Amad,Diallo,6.3,4.5,3.2,29
Mason Mount,184341,MID,Mason,Mount,5.9,3.2,3.0,21
Casimiro,61256,MID,Carlos Henrique,Casimiro,5.5,7.8,4.7,42
Kobbie Mainoo,516895,MID,Kobbie,Mainoo,4.8,0.8,1.0,7
Manuel Ugarte,232112,MID,Manuel,Ugarte Ribeiro,4.8,0.8,1.5,12
Joshua Zirkzee,458249,FWD,Joshua,Zirkzee,5.8,0.2,1.0,4
Benjamin Šeško,485711,FWD,Benjamin,Sesko,7.3,4.0,3.0,30
Senne Lammens,465247,GK,Senne,Lammens,5.0,3.8,3.8,15
Jacob Ramsey,232653,MID,Jacob,Ramsey,5.3,0.2,0.8,3
Nick Pope,98747,GK,Nick,Pope,5.2,3.8,4.9,49
Lewis Hall,487838,DEF,Lewis,Hall,5.2,0.0,3.0,9
Fabian Schär,119471,DEF,Fabian,Schär,5.4,0.5,4.2,25
Sven Botman,220237,DEF,Sven,Botman,4.9,2.0,3.5,28
Dan Burn,78916,DEF,Dan,Burn,5.2,4.0,4.8,48
Valentino Livramento,441191,DEF,Tino,Livramento,4.9,0.0,6.2,37
Kieran Trippier,77794,DEF,Kieran,Trippier,5.0,2.2,3.8,30
Jamaal Lascelles,101148,DEF,Jamaal,Lascelles,4.3,0.0,0.5,1
Anthony Gordon,232826,MID,Anthony,Gordon,7.5,2.0,1.7,12
Anthony Elanga,449434,MID,Anthony,Elanga,6.7,1.5,1.5,15
Harvey Barnes,201666,MID,Harvey,Barnes,6.3,1.0,1.5,15
Bruno Guimarães,208706,MID,Bruno,Guimarães Rodriguez Moura,6.6,7.5,5.1,46
Jacob Murphy,114243,MID,Jacob,Murphy,6.1,4.5,3.8,34
Joelinton,180974,MID,Joelinton Cássio,Apolinário de Lira,5.9,2.5,2.5,20
Sandro Tonali,432422,MID,Sandro,Tonali,5.4,2.0,2.8,28
Joe Willock,200089,MID,Joe,Willock,5.0,0.0,2.0,4
Lewis Miley,547719,MID,Lewis,Miley,4.4,1.8,1.9,13
William Osula,538207,FWD,William,Osula,5.5,1.8,1.8,18
